Test Name, September17, October17, November17, December17, Janurary18, Feburary18, Average%, Average Symbols
BBANDS0.06/,0.8043,0.7143,0.75,0.7119,0.6667,1,0.7745,27.67
BBANDS0.05/,0.8065,0.7742,0.75,0.6829,0.6939,1,0.7846,19.17
BBANDS0.07/,0.7797,0.6515,0.6,0.6962,0.6739,1,0.7336,35.17
RSI60/ADX20/,0.8667,0.4706,0.5,0.5,0.5455,0,0.4805,6.5
RSI60/ADX25/,0.6429,0.3947,0.6667,0.5588,0.5556,0.5,0.5531,11.67
RSI60/ADX30/,0.7179,0.434,0.6667,0.5435,0.6038,0.4,0.561,18.67
RSI60/ADX35/,0.7442,0.4333,0.6667,0.5556,0.6308,0.5,0.5884,22.33
RSI60/ADX40/,0.7556,0.4545,0.6667,0.5345,0.6351,0.3333,0.5633,24.5
RSI60/ADX45/,0.7556,0.4627,0.6667,0.5333,0.6267,0.3636,0.5681,25
RSI60/ADX50/,0.7609,0.4714,0.6667,0.5312,0.6316,0.3636,0.5709,26
ADX20/,0.8485,0.5,0.6667,0.575,0.625,0.5,0.6192,15.83
ADX25/,0.75,0.4886,0.8,0.6269,0.5256,0.375,0.5943,30.67
ADX30/,0.7474,0.5455,0.8333,0.6,0.5726,0.4615,0.6267,47
ADX35/,0.7857,0.5732,0.6667,0.5854,0.6087,0.5333,0.6255,60.33
ADX40/,0.8031,0.6211,0.6923,0.6026,0.6203,0.4211,0.6268,74
ADX45/,0.797,0.6406,0.7143,0.6135,0.6078,0.4,0.6289,81.5
ADX50/,0.8082,0.6391,0.7143,0.6158,0.633,0.3846,0.6325,88.67
RSI60/,0.8085,0.4808,0.8571,0.5612,0.6689,0.375,0.6252,49.17
RSI45/MOM0/MACD0/BOP0.03/ADX35/,1,0.2,1,0.25,0.8333,0,0.5472,2
RSI45/MOM0/MACD0/BOP0.03/ADX40/,1,0.2,1,0.25,0.8571,0,0.5512,2.17
RSI45/MOM0/MACD0/BOP0.03/ADX45/,1,0.2,1,0.25,0.8571,0,0.5512,2.33
RSI45/MOM0/MACD0/BOP0.03/ADX50/,1,0.2,1,0.25,0.8571,0,0.5512,2.33
RSI45/MOM0/MACD0/BOP0.01/,0.9,0.25,1,0.4,0.8333,0,0.5639,4.17
RSI45/MOM0/MACD0/BOP-0.01/,0.9,0.25,1,0.4,0.8333,0,0.5639,4.17
RSI45/MOM0/MACD0/BOP-0.03/,0.9,0.25,1,0.4,0.8333,0,0.5639,4.17
RSI45/MOM0/MACD0/BOP-0.05/,0.9,0.25,1,0.4,0.8333,0,0.5639,4.17
RSI45/MOM0/MACD-1/,1,0,0,0.5,1,0,0.4167,0.67
RSI50/,0.875,0.4667,1,0.6757,0.6905,0.4167,0.6874,25.83
RSI55/,0.8451,0.4557,1,0.6226,0.6891,0.4,0.6688,37.33
MOM0/MACD0/BOP0.03/ADX35/,1,0.2941,1,0.6,0.5862,0.4286,0.6515,9.33
MOM0/MACD0/BOP0.03/ADX40/,1,0.3333,1,0.6429,0.6129,0.4286,0.6696,10.67
MOM0/MACD0/BOP0.03/ADX45/,1,0.4,1,0.6429,0.5882,0.4,0.6719,11.67
MOM0/MACD0/BOP0.03/ADX50/,1,0.4286,1,0.6429,0.6,0.4,0.6786,12
MOM0/MACD0/BOP0.01/,0.8636,0.5152,1,0.6087,0.6949,0.3636,0.6743,19.67
MOM0/MACD0/BOP-0.01/,0.8636,0.5152,1,0.6364,0.6949,0.3636,0.679,19.67
MOM0/MACD0/BOP-0.03/,0.8636,0.5152,1,0.6364,0.6949,0.3636,0.679,19.67
MOM0/MACD0/BOP-0.05/,0.8636,0.5152,1,0.6667,0.6949,0.3636,0.684,19.67
MOM0/MACD-1/,0.7143,0.5,0,0.6667,0.7,0.5,0.5135,3.17
RSI45/MACD0/BOP0.03/ADX35/,0.9091,0.1667,1,0.3333,0.8889,0,0.5497,3.67
RSI45/MACD0/BOP0.03/ADX40/,0.9091,0.1667,1,0.4286,0.9167,0,0.5702,4.33
RSI45/MACD0/BOP0.03/ADX45/,0.9091,0.1667,1,0.4286,0.9167,0,0.5702,4.5
RSI45/MACD0/BOP0.03/ADX50/,0.9167,0.1667,1,0.4286,0.9167,0,0.5714,4.67
RSI45/MACD0/BOP0.01/,0.8421,0.2,1,0.4444,0.7619,0,0.5414,6.67
