Test Name, September17, October17, November17, December17, Janurary18, Feburary18, Average%, Average Symbols
MOM0/BOP0.03/ADX35/,0.9167,0.2222,1,0.5,0.4848,0.25,0.5623,8.83
MOM0/BOP0.03/ADX40/,0.9231,0.2632,1,0.6111,0.5278,0.25,0.5959,10.67
MOM0/BOP0.03/ADX45/,0.9259,0.3333,1,0.65,0.5,0.25,0.6099,12
MOM0/BOP0.03/ADX50/,0.9259,0.3333,1,0.6667,0.5122,0.25,0.6147,12.5
MOM0/BOP0.01/,0.7692,0.5,1,0.6,0.4795,0.2857,0.6057,22
MOM0/BOP-0.01/,0.7692,0.4894,1,0.6053,0.4795,0.2857,0.6048,21.67
MOM0/BOP-0.03/,0.7692,0.5,1,0.5946,0.4795,0.2857,0.6048,21.5
MOM0/BOP-0.05/,0.7692,0.5,1,0.6,0.4795,0.2308,0.5966,21.17
RSI45/BOP0.03/ADX35/,0.9091,0,1,0.1667,0.8,0,0.4793,3.33
RSI45/BOP0.03/ADX40/,0.9091,0,1,0.1429,0.8462,0,0.483,3.83
RSI45/BOP0.03/ADX45/,0.9091,0,1,0.1429,0.8462,0,0.483,4
RSI45/BOP0.03/ADX50/,0.8333,0,1,0.1429,0.8462,0,0.4704,4
RSI45/BOP0.01/,0.7895,0.1,1,0.1111,0.6818,0,0.4471,5.67
RSI45/BOP-0.01/,0.7895,0.1,1,0.1111,0.6818,0,0.4471,5.67
RSI45/BOP-0.03/,0.7895,0.1111,1,0.125,0.6818,0,0.4512,5.67
RSI45/BOP-0.05/,0.7895,0.1111,1,0.125,0.6818,0,0.4512,5.67
BOP0.03/ADX35/,0.9,0.28,0.75,0.4,0.6271,0.2222,0.5299,17.33
BOP0.03/ADX40/,0.9091,0.3077,0.75,0.4545,0.6324,0.2222,0.546,20.17
BOP0.03/ADX45/,0.9107,0.3667,0.8,0.4857,0.5946,0.2308,0.5648,21.67
BOP0.03/ADX50/,0.8966,0.3824,0.8,0.4737,0.6104,0.2308,0.5656,22.83
BOP0.01/,0.8,0.4848,0.875,0.4615,0.5612,0.25,0.5721,39.5
BOP-0.01/,0.8061,0.4769,0.875,0.4533,0.558,0.25,0.5699,38.67
BOP-0.03/,0.8041,0.4918,0.875,0.4638,0.5662,0.2667,0.5779,38
BOP-0.05/,0.8065,0.4833,0.875,0.4769,0.563,0.2143,0.5698,36.83
RSI45/MOM0/MACD-1/ADX35/,1,0,0,0.5,0,0,0.25,0.33
RSI45/MOM0/MACD-1/ADX40/,1,0,0,0.5,0,0,0.25,0.33
RSI45/MOM0/MACD-1/ADX45/,1,0,0,0.5,0,0,0.25,0.33
RSI45/MOM0/MACD-1/ADX50/,1,0,0,0.5,0,0,0.25,0.33
MOM0/MACD-1/ADX35/,1,0.2,0,0.5,0.25,1,0.4917,1.33
MOM0/MACD-1/ADX40/,1,0.2,0,0.6667,0.4,1,0.5444,1.67
MOM0/MACD-1/ADX45/,1,0.3333,0,0.6667,0.4,1,0.5667,1.83
MOM0/MACD-1/ADX50/,1,0.4286,0,0.6667,0.4,1,0.5826,2
RSI45/MACD-1/ADX35/,1,0,0,0.5,0,0,0.25,0.33
RSI45/MACD-1/ADX40/,1,0,0,0.3333,1,0,0.3889,0.5
RSI45/MACD-1/ADX45/,1,0,0,0.3333,1,0,0.3889,0.5
RSI45/MACD-1/ADX50/,1,0,0,0.3333,1,0,0.3889,0.5
MACD-1/ADX35/,1,0.2,0,0.5,0.25,1,0.4917,1.33
MACD-1/ADX40/,1,0.2,0,0.5,0.5,1,0.5333,1.83
MACD-1/ADX45/,1,0.3333,0,0.5,0.5,1,0.5556,2
MACD-1/ADX50/,1,0.4286,0,0.5,0.5,1,0.5714,2.17
RSI50/ADX35/,0.875,0.28,1,0.6,0.587,0.2,0.5903,11.67
RSI50/ADX40/,0.88,0.2963,1,0.5217,0.6364,0.2,0.5891,13.33
RSI50/ADX45/,0.88,0.3448,1,0.48,0.6316,0.1429,0.5799,14
RSI50/ADX50/,0.8462,0.3667,1,0.48,0.6316,0.1429,0.5779,14.17
RSI45/MOM0/MACD0/BOP0.05/ADX35/,0.8889,0.125,1,0.2,0.6364,0,0.475,3
RSI45/MOM0/MACD0/BOP0.05/ADX40/,0.9,0.125,1,0.2,0.6667,0,0.482,3.33
RSI45/MOM0/MACD0/BOP0.05/ADX45/,0.9,0.125,1,0.2,0.6667,0,0.482,3.5
RSI45/MOM0/MACD0/BOP0.05/ADX50/,0.9,0.125,1,0.2,0.6667,0,0.482,3.5
RSI45/MOM0/MACD0/BOP0.03/,0.9,0.125,1,0.2,0.6667,0,0.482,3.5
MOM0/MACD0/BOP0.05/ADX35/,0.9091,0.3462,1,0.5,0.5,0.2857,0.5902,12.67
MOM0/MACD0/BOP0.05/ADX40/,0.8947,0.3929,1,0.5238,0.5094,0.2857,0.6011,14.67
MOM0/MACD0/BOP0.05/ADX45/,0.8974,0.4333,1,0.5238,0.5,0.3,0.6091,15.67
MOM0/MACD0/BOP0.05/ADX50/,0.9,0.4688,1,0.5238,0.5088,0.3,0.6169,16.33
MOM0/MACD0/BOP0.03/,0.8409,0.4545,1,0.5217,0.4915,0.2727,0.5969,16.67
RSI45/MACD0/BOP0.05/ADX35/,0.8235,0.1111,1,0.125,0.5882,0,0.4413,4.5
RSI45/MACD0/BOP0.05/ADX40/,0.8333,0.1,1,0.1111,0.6667,0,0.4518,5.33
RSI45/MACD0/BOP0.05/ADX45/,0.8333,0.1,1,0.1111,0.6667,0,0.4518,5.5
RSI45/MACD0/BOP0.05/ADX50/,0.7895,0.1,1,0.1111,0.6667,0,0.4446,5.5
RSI45/MACD0/BOP0.03/,0.7895,0.1,1,0.1111,0.6667,0,0.4446,5.5
MACD0/BOP0.05/ADX35/,0.9074,0.3636,1,0.3333,0.5676,0.25,0.5703,19.67
MACD0/BOP0.05/ADX40/,0.9016,0.3889,1,0.3684,0.5833,0.25,0.582,22.83
MACD0/BOP0.05/ADX45/,0.9032,0.4211,1,0.359,0.5682,0.2727,0.5874,23.83
MACD0/BOP0.05/ADX50/,0.8923,0.45,1,0.359,0.5778,0.2727,0.592,24.83
MACD0/BOP0.03/,0.8571,0.4286,1,0.3659,0.5745,0.25,0.5793,25.67
RSI45/MOM0/BOP0.05/ADX35/,0.8889,0.125,1,0.2,0.6364,0,0.475,3
RSI45/MOM0/BOP0.05/ADX40/,0.9,0.125,1,0.2,0.6667,0,0.482,3.33
RSI45/MOM0/BOP0.05/ADX45/,0.9,0.125,1,0.2,0.6667,0,0.482,3.5
RSI45/MOM0/BOP0.05/ADX50/,0.9,0.125,1,0.2,0.6667,0,0.482,3.5
RSI45/MOM0/BOP0.03/,0.9,0.125,1,0.2,0.6667,0,0.482,3.5
MOM0/BOP0.05/ADX35/,0.825,0.4375,1,0.5238,0.4643,0.25,0.5834,14.83
MOM0/BOP0.05/ADX40/,0.8222,0.4865,1,0.5667,0.4839,0.25,0.6016,18
MOM0/BOP0.05/ADX45/,0.8261,0.5238,1,0.6061,0.4853,0.25,0.6152,20.17
MOM0/BOP0.05/ADX50/,0.8298,0.5217,1,0.6216,0.4928,0.25,0.6193,21.33
MOM0/BOP0.03/,0.7692,0.5,1,0.6,0.4865,0.2857,0.6069,22.17
RSI45/BOP0.05/ADX35/,0.8235,0.1111,1,0.125,0.6111,0,0.4451,4.67
RSI45/BOP0.05/ADX40/,0.8333,0.1,1,0.1111,0.6818,0,0.4544,5.5
RSI45/BOP0.05/ADX45/,0.8333,0.1,1,0.1111,0.6818,0,0.4544,5.67
RSI45/BOP0.05/ADX50/,0.7895,0.1,1,0.1111,0.6818,0,0.4471,5.67
RSI45/BOP0.03/,0.7895,0.1,1,0.1111,0.6818,0,0.4471,5.67
BOP0.05/ADX35/,0.8267,0.4545,0.8,0.4167,0.5354,0.2,0.5389,26.83
BOP0.05/ADX40/,0.8353,0.48,0.8333,0.4426,0.5487,0.2,0.5566,31.83
BOP0.05/ADX45/,0.8372,0.5,0.8571,0.4627,0.5328,0.2143,0.5674,34.33
BOP0.05/ADX50/,0.8261,0.5,0.8571,0.4595,0.5504,0.2143,0.5679,37
BOP0.03/,0.802,0.4776,0.875,0.4634,0.5594,0.25,0.5712,40.33
