Test Name, Success%, Total, Success 
BBANDS0.06/,0.7119,59,42
BBANDS0.05/,0.6829,41,28
BBANDS0.07/,0.6962,79,55
RSI60/ADX20/,0.5,22,11
RSI60/ADX25/,0.5588,34,19
RSI60/ADX30/,0.5435,46,25
RSI60/ADX35/,0.5556,54,30
RSI60/ADX40/,0.5345,58,31
RSI60/ADX45/,0.5333,60,32
RSI60/ADX50/,0.5312,64,34
ADX20/,0.575,40,23
ADX25/,0.6269,67,42
ADX30/,0.6,95,57
ADX35/,0.5854,123,72
ADX40/,0.6026,151,91
ADX45/,0.6135,163,100
ADX50/,0.6158,177,109
RSI60/,0.5612,98,55
RSI45/MOM0/MACD0/BOP0.03/ADX35/,0.25,4,1
RSI45/MOM0/MACD0/BOP0.03/ADX40/,0.25,4,1
RSI45/MOM0/MACD0/BOP0.03/ADX45/,0.25,4,1
RSI45/MOM0/MACD0/BOP0.03/ADX50/,0.25,4,1
RSI45/MOM0/MACD0/BOP0.01/,0.4,5,2
RSI45/MOM0/MACD0/BOP-0.01/,0.4,5,2
RSI45/MOM0/MACD0/BOP-0.03/,0.4,5,2
RSI45/MOM0/MACD0/BOP-0.05/,0.4,5,2
RSI45/MOM0/MACD-1/,0.5,2,1
RSI50/,0.6757,37,25
RSI55/,0.6226,53,33
MOM0/MACD0/BOP0.03/ADX35/,0.6,10,6
MOM0/MACD0/BOP0.03/ADX40/,0.6429,14,9
MOM0/MACD0/BOP0.03/ADX45/,0.6429,14,9
MOM0/MACD0/BOP0.03/ADX50/,0.6429,14,9
MOM0/MACD0/BOP0.01/,0.6087,23,14
MOM0/MACD0/BOP-0.01/,0.6364,22,14
MOM0/MACD0/BOP-0.03/,0.6364,22,14
MOM0/MACD0/BOP-0.05/,0.6667,21,14
MOM0/MACD-1/,0.6667,3,2
RSI45/MACD0/BOP0.03/ADX35/,0.3333,6,2
RSI45/MACD0/BOP0.03/ADX40/,0.4286,7,3
RSI45/MACD0/BOP0.03/ADX45/,0.4286,7,3
RSI45/MACD0/BOP0.03/ADX50/,0.4286,7,3
RSI45/MACD0/BOP0.01/,0.4444,9,4
RSI45/MACD0/BOP-0.01/,0.4444,9,4
RSI45/MACD0/BOP-0.03/,0.5,8,4
RSI45/MACD0/BOP-0.05/,0.5,8,4
RSI45/MACD-1/,0.6667,3,2
MACD0/BOP0.03/ADX35/,0.5333,15,8
MACD0/BOP0.03/ADX40/,0.5714,21,12
MACD0/BOP0.03/ADX45/,0.5714,21,12
MACD0/BOP0.03/ADX50/,0.5714,21,12
MACD0/BOP0.01/,0.6,40,24
MACD0/BOP-0.01/,0.6154,39,24
MACD0/BOP-0.03/,0.6111,36,22
MACD0/BOP-0.05/,0.6176,34,21
MACD-1/,0.75,4,3
RSI45/MOM0/BOP0.03/ADX35/,0.25,4,1
RSI45/MOM0/BOP0.03/ADX40/,0.25,4,1
RSI45/MOM0/BOP0.03/ADX45/,0.25,4,1
RSI45/MOM0/BOP0.03/ADX50/,0.25,4,1
RSI45/MOM0/BOP0.01/,0.4,5,2
RSI45/MOM0/BOP-0.01/,0.4,5,2
RSI45/MOM0/BOP-0.03/,0.4,5,2
RSI45/MOM0/BOP-0.05/,0.4,5,2
MOM0/BOP0.03/ADX35/,0.5833,12,7
MOM0/BOP0.03/ADX40/,0.6667,18,12
MOM0/BOP0.03/ADX45/,0.7,20,14
MOM0/BOP0.03/ADX50/,0.7143,21,15
MOM0/BOP0.01/,0.7,40,28
MOM0/BOP-0.01/,0.7105,38,27
MOM0/BOP-0.03/,0.7027,37,26
MOM0/BOP-0.05/,0.7143,35,25
RSI45/BOP0.03/ADX35/,0.3333,6,2
RSI45/BOP0.03/ADX40/,0.4286,7,3
RSI45/BOP0.03/ADX45/,0.4286,7,3
RSI45/BOP0.03/ADX50/,0.4286,7,3
RSI45/BOP0.01/,0.4444,9,4
RSI45/BOP-0.01/,0.4444,9,4
