Test Name, Success%, Total, Success 
ADX40/,0.6923,13,9
ADX45/,0.7143,14,10
ADX50/,0.7143,14,10
RSI60/ADX20/,0.5,2,1
RSI60/ADX25/,0.6667,3,2
RSI60/ADX30/,0.6667,3,2
RSI60/ADX35/,0.6667,3,2
RSI60/ADX40/,0.6667,3,2
RSI60/ADX45/,0.6667,3,2
RSI60/ADX50/,0.6667,3,2
ADX20/,0.6667,3,2
ADX25/,0.8,5,4
ADX30/,0.8333,6,5
ADX35/,0.6667,9,6
RSI60/,0.8571,7,6
MOM0/ADX40/,1,5,5
MOM0/ADX45/,1,6,6
MOM0/ADX50/,1,6,6
MOM0/,0.8571,7,6
BBANDS0.07/ADX40/,0.6667,3,2
BBANDS0.07/ADX45/,0.6667,3,2
BBANDS0.07/ADX50/,0.6667,3,2
BBANDS0.07/,0.6,5,3
MOM0/BBANDS0.06/,0.5,2,1
MOM0/BBANDS0.05/,0.5,2,1
MOM0/BBANDS0.04/,0.5,2,1
MOM0/BBANDS0.03/,0,1,0
MOM0/BBANDS0.02/,0,1,0
BBANDS0.06/,0.75,4,3
BBANDS0.05/,0.75,4,3
BBANDS0.04/,0.6667,3,2
BBANDS0.03/,0,1,0
BBANDS0.02/,0,1,0
MOM0/BBANDS0.07/,0.5,2,1
MOM0/BOP0.05/BBANDS0.07/ADX40/,1,1,1
MOM0/BOP0.05/BBANDS0.07/ADX45/,1,1,1
MOM0/BOP0.05/BBANDS0.07/ADX50/,1,1,1
MOM0/BOP0.05/BBANDS0.06/,1,1,1
MOM0/BOP0.05/BBANDS0.05/,1,1,1
MOM0/BOP0.05/BBANDS0.04/,1,1,1
MOM0/BOP0.03/,1,5,5
MOM0/BOP0.01/,1,5,5
MOM0/BOP-0.01/,1,5,5
MOM0/BOP-0.03/,1,5,5
MOM0/BOP-0.05/,1,5,5
BOP0.05/BBANDS0.07/ADX40/,1,2,2
BOP0.05/BBANDS0.07/ADX45/,1,2,2
BOP0.05/BBANDS0.07/ADX50/,1,2,2
BOP0.05/BBANDS0.06/,1,3,3
BOP0.05/BBANDS0.05/,1,3,3
BOP0.05/BBANDS0.04/,1,2,2
BOP0.03/,0.875,8,7
BOP0.01/,0.875,8,7
BOP-0.01/,0.875,8,7
BOP-0.03/,0.875,8,7
BOP-0.05/,0.875,8,7
MOM0/BBANDS0.07/ADX40/,1,1,1
MOM0/BBANDS0.07/ADX45/,1,1,1
MOM0/BBANDS0.07/ADX50/,1,1,1
MOM0/BOP0.05/ADX40/,1,4,4
MOM0/BOP0.05/ADX45/,1,5,5
MOM0/BOP0.05/ADX50/,1,5,5
BOP0.05/ADX40/,0.8333,6,5
BOP0.05/ADX45/,0.8571,7,6
BOP0.05/ADX50/,0.8571,7,6
MOM0/BOP0.05/BBANDS0.07/,1,1,1
BOP0.05/BBANDS0.07/,1,3,3
MOM0/BOP0.05/,1,5,5
BOP0.05/,0.875,8,7
RSI45/MOM0/MACD0/BOP0.03/ADX45/,1,2,2
RSI45/MOM0/MACD0/BOP0.03/ADX50/,1,2,2
RSI45/MOM0/MACD0/BOP0.01/,1,2,2
RSI45/MOM0/MACD0/BOP-0.01/,1,2,2
RSI45/MOM0/MACD0/BOP-0.03/,1,2,2
RSI45/MOM0/MACD0/BOP-0.05/,1,2,2
RSI50/,1,4,4
RSI55/,1,5,5
MOM0/MACD0/BOP0.03/ADX45/,1,4,4
MOM0/MACD0/BOP0.03/ADX50/,1,4,4
MOM0/MACD0/BOP0.01/,1,4,4
MOM0/MACD0/BOP-0.01/,1,4,4
MOM0/MACD0/BOP-0.03/,1,4,4
MOM0/MACD0/BOP-0.05/,1,4,4
RSI45/MACD0/BOP0.03/ADX45/,1,2,2
RSI45/MACD0/BOP0.03/ADX50/,1,2,2
RSI45/MACD0/BOP0.01/,1,2,2
RSI45/MACD0/BOP-0.01/,1,2,2
RSI45/MACD0/BOP-0.03/,1,2,2
RSI45/MACD0/BOP-0.05/,1,2,2
MACD0/BOP0.03/ADX45/,1,4,4
MACD0/BOP0.03/ADX50/,1,4,4
MACD0/BOP0.01/,1,4,4
MACD0/BOP-0.01/,1,4,4
MACD0/BOP-0.03/,1,4,4
MACD0/BOP-0.05/,1,4,4
RSI45/MOM0/BOP0.03/ADX45/,1,2,2
RSI45/MOM0/BOP0.03/ADX50/,1,2,2
RSI45/MOM0/BOP0.01/,1,2,2
RSI45/MOM0/BOP-0.01/,1,2,2
RSI45/MOM0/BOP-0.03/,1,2,2
RSI45/MOM0/BOP-0.05/,1,2,2
MOM0/BOP0.03/ADX45/,1,4,4
MOM0/BOP0.03/ADX50/,1,4,4
RSI45/BOP0.03/ADX45/,1,2,2
RSI45/BOP0.03/ADX50/,1,2,2
RSI45/BOP0.01/,1,2,2
RSI45/BOP-0.01/,1,2,2
RSI45/BOP-0.03/,1,2,2
RSI45/BOP-0.05/,1,2,2
BOP0.03/ADX45/,0.8,5,4
BOP0.03/ADX50/,0.8,5,4
RSI50/ADX45/,1,3,3
RSI50/ADX50/,1,3,3
RSI45/MOM0/MACD0/BOP0.05/ADX45/,1,2,2
RSI45/MOM0/MACD0/BOP0.05/ADX50/,1,2,2
RSI45/MOM0/MACD0/BOP0.03/,1,2,2
MOM0/MACD0/BOP0.05/ADX45/,1,4,4
MOM0/MACD0/BOP0.05/ADX50/,1,4,4
MOM0/MACD0/BOP0.03/,1,4,4
RSI45/MACD0/BOP0.05/ADX45/,1,2,2
RSI45/MACD0/BOP0.05/ADX50/,1,2,2
RSI45/MACD0/BOP0.03/,1,2,2
MACD0/BOP0.05/ADX45/,1,4,4
MACD0/BOP0.05/ADX50/,1,4,4
MACD0/BOP0.03/,1,4,4
RSI45/MOM0/BOP0.05/ADX45/,1,2,2
RSI45/MOM0/BOP0.05/ADX50/,1,2,2
RSI45/MOM0/BOP0.03/,1,2,2
RSI45/BOP0.05/ADX45/,1,2,2
RSI45/BOP0.05/ADX50/,1,2,2
RSI45/BOP0.03/,1,2,2
RSI45/MOM0/MACD0/ADX45/,1,2,2
RSI45/MOM0/MACD0/ADX50/,1,2,2
MOM0/MACD0/ADX45/,1,4,4
MOM0/MACD0/ADX50/,1,4,4
RSI45/MACD0/ADX45/,1,2,2
RSI45/MACD0/ADX50/,1,2,2
MACD0/ADX45/,1,4,4
MACD0/ADX50/,1,4,4
RSI45/MOM0/ADX45/,1,2,2
RSI45/MOM0/ADX50/,1,2,2
RSI45/ADX45/,1,3,3
RSI45/ADX50/,1,3,3
RSI45/MOM0/MACD0/BOP0.05/,1,2,2
MOM0/MACD0/BOP0.05/,1,4,4
RSI45/MACD0/BOP0.05/,1,2,2
MACD0/BOP0.05/,1,4,4
RSI45/MOM0/BOP0.05/,1,2,2
RSI45/BOP0.05/,1,2,2
RSI45/MOM0/MACD0/,1,2,2
MOM0/MACD0/,1,4,4
RSI45/MACD0/,1,2,2
MACD0/,1,4,4
RSI45/MOM0/,1,2,2
RSI45/,1,3,3
RSI45/MOM0/MACD0/BOP0.03/ADX30/,1,1,1
RSI45/MOM0/MACD0/BOP0.03/ADX35/,1,1,1
RSI45/MOM0/MACD0/BOP0.03/ADX40/,1,1,1
MOM0/MACD0/BOP0.03/ADX30/,1,3,3
MOM0/MACD0/BOP0.03/ADX35/,1,3,3
MOM0/MACD0/BOP0.03/ADX40/,1,3,3
RSI45/MACD0/BOP0.03/ADX30/,1,1,1
RSI45/MACD0/BOP0.03/ADX35/,1,1,1
RSI45/MACD0/BOP0.03/ADX40/,1,1,1
MACD0/BOP0.03/ADX30/,1,3,3
MACD0/BOP0.03/ADX35/,1,3,3
MACD0/BOP0.03/ADX40/,1,3,3
RSI45/MOM0/BOP0.03/ADX30/,1,1,1
RSI45/MOM0/BOP0.03/ADX35/,1,1,1
RSI45/MOM0/BOP0.03/ADX40/,1,1,1
MOM0/BOP0.03/ADX30/,1,3,3
MOM0/BOP0.03/ADX35/,1,3,3
MOM0/BOP0.03/ADX40/,1,3,3
RSI45/BOP0.03/ADX30/,1,1,1
RSI45/BOP0.03/ADX35/,1,1,1
RSI45/BOP0.03/ADX40/,1,1,1
BOP0.03/ADX30/,1,3,3
BOP0.03/ADX35/,0.75,4,3
BOP0.03/ADX40/,0.75,4,3
RSI50/ADX30/,1,2,2
RSI50/ADX35/,1,2,2
RSI50/ADX40/,1,2,2
RSI45/MOM0/MACD0/BOP0.05/ADX30/,1,1,1
RSI45/MOM0/MACD0/BOP0.05/ADX35/,1,1,1
RSI45/MOM0/MACD0/BOP0.05/ADX40/,1,1,1
MOM0/MACD0/BOP0.05/ADX30/,1,3,3
MOM0/MACD0/BOP0.05/ADX35/,1,3,3
MOM0/MACD0/BOP0.05/ADX40/,1,3,3
RSI45/MACD0/BOP0.05/ADX30/,1,1,1
RSI45/MACD0/BOP0.05/ADX35/,1,1,1
RSI45/MACD0/BOP0.05/ADX40/,1,1,1
MACD0/BOP0.05/ADX30/,1,3,3
MACD0/BOP0.05/ADX35/,1,3,3
MACD0/BOP0.05/ADX40/,1,3,3
RSI45/MOM0/BOP0.05/ADX30/,1,1,1
RSI45/MOM0/BOP0.05/ADX35/,1,1,1
RSI45/MOM0/BOP0.05/ADX40/,1,1,1
MOM0/BOP0.05/ADX30/,1,3,3
MOM0/BOP0.05/ADX35/,1,3,3
RSI45/BOP0.05/ADX30/,1,1,1
RSI45/BOP0.05/ADX35/,1,1,1
RSI45/BOP0.05/ADX40/,1,1,1
BOP0.05/ADX30/,1,4,4
BOP0.05/ADX35/,0.8,5,4
RSI45/MOM0/MACD0/ADX30/,1,1,1
RSI45/MOM0/MACD0/ADX35/,1,1,1
RSI45/MOM0/MACD0/ADX40/,1,1,1
MOM0/MACD0/ADX30/,1,3,3
MOM0/MACD0/ADX35/,1,3,3
MOM0/MACD0/ADX40/,1,3,3
RSI45/MACD0/ADX30/,1,1,1
RSI45/MACD0/ADX35/,1,1,1
RSI45/MACD0/ADX40/,1,1,1
MACD0/ADX30/,1,3,3
MACD0/ADX35/,1,3,3
MACD0/ADX40/,1,3,3
RSI45/MOM0/ADX30/,1,1,1
RSI45/MOM0/ADX35/,1,1,1
RSI45/MOM0/ADX40/,1,1,1
MOM0/ADX30/,1,3,3
MOM0/ADX35/,1,3,3
RSI45/ADX30/,1,2,2
RSI45/ADX35/,1,2,2
RSI45/ADX40/,1,2,2
RSI60/BOP0.05/BBANDS0.07/ADX20/,1,1,1
RSI60/BOP0.05/BBANDS0.07/ADX25/,1,1,1
RSI60/BOP0.05/BBANDS0.07/ADX30/,1,1,1
RSI60/BOP0.05/BBANDS0.07/ADX35/,1,1,1
RSI60/BOP0.05/BBANDS0.07/ADX40/,1,1,1
RSI60/BOP0.05/BBANDS0.07/ADX45/,1,1,1
RSI60/BOP0.05/BBANDS0.07/ADX50/,1,1,1
RSI60/BOP0.05/BBANDS0.06/,1,1,1
RSI60/BOP0.05/BBANDS0.05/,1,1,1
RSI60/BOP0.05/BBANDS0.04/,1,1,1
RSI60/BOP0.03/,1,1,1
RSI60/BOP0.01/,1,1,1
RSI60/BOP-0.01/,1,1,1
RSI60/BOP-0.03/,1,1,1
RSI60/BOP-0.05/,1,1,1
BOP0.05/BBANDS0.07/ADX20/,1,1,1
BOP0.05/BBANDS0.07/ADX25/,1,1,1
BOP0.05/BBANDS0.07/ADX30/,1,1,1
BOP0.05/BBANDS0.07/ADX35/,1,1,1
RSI60/BBANDS0.07/ADX20/,1,1,1
RSI60/BBANDS0.07/ADX25/,1,1,1
RSI60/BBANDS0.07/ADX30/,1,1,1
RSI60/BBANDS0.07/ADX35/,1,1,1
RSI60/BBANDS0.07/ADX40/,1,1,1
RSI60/BBANDS0.07/ADX45/,1,1,1
RSI60/BBANDS0.07/ADX50/,1,1,1
RSI60/BBANDS0.06/,1,1,1
RSI60/BBANDS0.05/,1,1,1
RSI60/BBANDS0.04/,1,1,1
BBANDS0.07/ADX20/,1,1,1
BBANDS0.07/ADX25/,1,1,1
BBANDS0.07/ADX30/,1,1,1
BBANDS0.07/ADX35/,1,1,1
RSI60/BOP0.05/ADX20/,1,1,1
RSI60/BOP0.05/ADX25/,1,1,1
RSI60/BOP0.05/ADX30/,1,1,1
RSI60/BOP0.05/ADX35/,1,1,1
RSI60/BOP0.05/ADX40/,1,1,1
RSI60/BOP0.05/ADX45/,1,1,1
RSI60/BOP0.05/ADX50/,1,1,1
BOP0.05/ADX20/,1,2,2
