Test Name, Success%, Total, Success 
RSI35/MOM0/MACD0/BOP0.03/ADX25/,0,2,0
RSI35/MOM0/MACD0/BOP0.03/ADX30/,0,2,0
RSI35/MOM0/MACD0/BOP0.03/ADX35/,0,2,0
RSI35/MOM0/MACD0/BOP0.03/ADX40/,0,2,0
RSI35/MOM0/MACD0/BOP0.03/ADX45/,0,2,0
RSI35/MOM0/MACD0/BOP0.03/ADX50/,0,2,0
RSI35/MOM0/MACD0/BOP0.01/,0,3,0
RSI35/MOM0/MACD0/BOP-0.01/,0,3,0
RSI35/MOM0/MACD0/BOP-0.03/,0,3,0
RSI35/MOM0/MACD0/BOP-0.05/,0,3,0
RSI35/MOM0/MACD-1/,0,2,0
RSI40/,0.5385,26,14
RSI45/,0.5745,47,27
RSI50/,0.5833,84,49
RSI55/,0.563,119,67
RSI60/,0.5473,148,81
MOM0/MACD0/BOP0.03/ADX25/,0.4118,17,7
MOM0/MACD0/BOP0.03/ADX30/,0.5,24,12
MOM0/MACD0/BOP0.03/ADX35/,0.4828,29,14
MOM0/MACD0/BOP0.03/ADX40/,0.5161,31,16
MOM0/MACD0/BOP0.03/ADX45/,0.5,34,17
MOM0/MACD0/BOP0.03/ADX50/,0.5143,35,18
MOM0/MACD0/BOP0.01/,0.4915,59,29
MOM0/MACD0/BOP-0.01/,0.4915,59,29
MOM0/MACD0/BOP-0.03/,0.4915,59,29
MOM0/MACD0/BOP-0.05/,0.4915,59,29
MOM0/MACD-1/,0.5,10,5
RSI35/MACD0/BOP0.03/ADX25/,0,2,0
RSI35/MACD0/BOP0.03/ADX30/,0,2,0
RSI35/MACD0/BOP0.03/ADX35/,0,2,0
RSI35/MACD0/BOP0.03/ADX40/,0,2,0
RSI35/MACD0/BOP0.03/ADX45/,0,3,0
RSI35/MACD0/BOP0.03/ADX50/,0,3,0
RSI35/MACD0/BOP0.01/,0,4,0
RSI35/MACD0/BOP-0.01/,0,4,0
RSI35/MACD0/BOP-0.03/,0,4,0
RSI35/MACD0/BOP-0.05/,0,4,0
RSI35/MACD-1/,0,2,0
MACD0/BOP0.03/ADX25/,0.4545,22,10
MACD0/BOP0.03/ADX30/,0.6,35,21
MACD0/BOP0.03/ADX35/,0.6136,44,27
MACD0/BOP0.03/ADX40/,0.64,50,32
MACD0/BOP0.03/ADX45/,0.6111,54,33
MACD0/BOP0.03/ADX50/,0.6182,55,34
MACD0/BOP0.01/,0.5745,94,54
MACD0/BOP-0.01/,0.5745,94,54
MACD0/BOP-0.03/,0.5806,93,54
MACD0/BOP-0.05/,0.5806,93,54
MACD-1/,0.5833,12,7
RSI35/MOM0/BOP0.03/ADX25/,0,2,0
RSI35/MOM0/BOP0.03/ADX30/,0,2,0
RSI35/MOM0/BOP0.03/ADX35/,0,2,0
RSI35/MOM0/BOP0.03/ADX40/,0,2,0
RSI35/MOM0/BOP0.03/ADX45/,0,2,0
RSI35/MOM0/BOP0.03/ADX50/,0,2,0
RSI35/MOM0/BOP0.01/,0,3,0
RSI35/MOM0/BOP-0.01/,0,3,0
RSI35/MOM0/BOP-0.03/,0,3,0
RSI35/MOM0/BOP-0.05/,0,3,0
MOM0/BOP0.03/ADX25/,0.4118,17,7
MOM0/BOP0.03/ADX30/,0.52,25,13
MOM0/BOP0.03/ADX35/,0.4848,33,16
MOM0/BOP0.03/ADX40/,0.5278,36,19
MOM0/BOP0.03/ADX45/,0.5,40,20
MOM0/BOP0.03/ADX50/,0.5122,41,21
MOM0/BOP0.01/,0.4795,73,35
MOM0/BOP-0.01/,0.4795,73,35
MOM0/BOP-0.03/,0.4795,73,35
