TestName, AverageSymbols, AverageGain, December17, Feburary18, Janurary18, March18, November17, October17, September17, SuccessPercent
MACD3/BOP0.07/ADX35/, 36.86, 1.0165, 0.6735, 0.6, 0.6863, 0.7619, 1, 0.6, 0.9324, 0.750585714285714
MACD3/BOP0.07/ADX40/, 43, 1.0139, 0.6935, 0.6, 0.6923, 0.7639, 0.8571, 0.6275, 0.9286, 0.737557142857143
MACD3/BOP0.07/ADX45/, 46.14, 1.0179, 0.7164, 0.5, 0.6746, 0.7436, 0.875, 0.661, 0.9294, 0.728571428571429
MACD3/BOP0.07/ADX50/, 49.57, 1.0186, 0.6933, 0.5, 0.6917, 0.7439, 0.875, 0.6615, 0.9341, 0.7285
MACD3/BOP0.05/, 54, 1.0233, 0.6667, 0.5, 0.7055, 0.7529, 1, 0.6522, 0.9126, 0.741414285714286
RSI45/MOM0/BOP0.07/ADX35/, 3.86, 0.9947, 0.4, 0.5, 0.8182, 0.4286, 1, 0.25, 1, 0.628114285714286
RSI45/MOM0/BOP0.07/ADX40/, 4.29, 0.9938, 0.4, 0.5, 0.8333, 0.5, 1, 0.25, 1, 0.640471428571429
RSI45/MOM0/BOP0.07/ADX45/, 4.57, 1.0094, 0.4, 0.3333, 0.8333, 0.5556, 1, 0.25, 1, 0.6246
RSI45/MOM0/BOP0.07/ADX50/, 4.71, 1.01, 0.4, 0.3333, 0.8333, 0.6, 1, 0.25, 1, 0.630942857142857
RSI45/MOM0/BOP0.05/, 4.71, 1.01, 0.4, 0.3333, 0.8333, 0.6, 1, 0.25, 1, 0.630942857142857
MOM0/BOP0.07/ADX35/, 20.43, 1.0162, 0.7619, 0.625, 0.6786, 0.7586, 1, 0.6364, 0.95, 0.772928571428571
MOM0/BOP0.07/ADX40/, 24.29, 1.0217, 0.8, 0.625, 0.6984, 0.7812, 1, 0.6842, 0.9333, 0.788871428571429
MOM0/BOP0.07/ADX45/, 26.43, 1.0276, 0.8182, 0.5, 0.6812, 0.75, 1, 0.6977, 0.9348, 0.768842857142857
MOM0/BOP0.07/ADX50/, 27.71, 1.0291, 0.8108, 0.5, 0.6857, 0.7632, 1, 0.6809, 0.9362, 0.768114285714286
MOM0/BOP0.05/, 29.71, 1.0291, 0.7805, 0.5, 0.6974, 0.775, 1, 0.6735, 0.9038, 0.761457142857143
RSI45/BOP0.07/ADX35/, 6, 0.9957, 0.375, 0.5, 0.7222, 0.5, 1, 0.2222, 0.9412, 0.608657142857143
RSI45/BOP0.07/ADX40/, 7, 0.9956, 0.4444, 0.5, 0.7727, 0.5385, 1, 0.2, 0.9444, 0.628571428571429
RSI45/BOP0.07/ADX45/, 7.29, 1.0111, 0.4444, 0.3333, 0.7727, 0.5714, 1, 0.2, 0.9444, 0.609457142857143
RSI45/BOP0.07/ADX50/, 7.57, 1.0108, 0.4444, 0.3333, 0.7727, 0.6, 1, 0.2, 0.9474, 0.613971428571429
RSI45/BOP0.05/, 7.57, 1.0108, 0.4444, 0.3333, 0.7727, 0.6, 1, 0.2, 0.9474, 0.613971428571429
BOP0.07/ADX35/, 37.14, 1.017, 0.6735, 0.6, 0.6863, 0.7619, 1, 0.6087, 0.9333, 0.751957142857143
BOP0.07/ADX40/, 43.43, 1.0143, 0.6935, 0.6, 0.6923, 0.7671, 0.8571, 0.6346, 0.9294, 0.739142857142857
BOP0.07/ADX45/, 46.57, 1.0182, 0.7164, 0.5, 0.6746, 0.7468, 0.875, 0.6667, 0.9302, 0.729957142857143
BOP0.07/ADX50/, 50, 1.0188, 0.6933, 0.5, 0.6917, 0.747, 0.875, 0.6667, 0.9348, 0.729785714285714
BOP0.05/, 54.43, 1.0236, 0.6667, 0.5, 0.7055, 0.7558, 1, 0.6571, 0.9135, 0.742657142857143
RSI45/MOM0/MACD3/ADX35/, 4, 0.9971, 0.5, 0.5, 0.8182, 0.4286, 1, 0.25, 1, 0.6424
RSI45/MOM0/MACD3/ADX40/, 4.43, 0.9962, 0.5, 0.5, 0.8333, 0.5, 1, 0.25, 1, 0.654757142857143
RSI45/MOM0/MACD3/ADX45/, 4.71, 1.0118, 0.5, 0.3333, 0.8333, 0.5556, 1, 0.25, 1, 0.638885714285714
RSI45/MOM0/MACD3/ADX50/, 4.86, 1.0123, 0.5, 0.3333, 0.8333, 0.6, 1, 0.25, 1, 0.645228571428571
MOM0/MACD3/ADX35/, 22.14, 1.0198, 0.8214, 0.6667, 0.678, 0.7586, 1, 0.55, 0.9512, 0.775128571428572
MOM0/MACD3/ADX40/, 26.71, 1.0191, 0.8205, 0.5455, 0.6866, 0.7812, 1, 0.6122, 0.9348, 0.768685714285714
MOM0/MACD3/ADX45/, 29.29, 1.0252, 0.8333, 0.4667, 0.6712, 0.75, 1, 0.6491, 0.9362, 0.758071428571429
MOM0/MACD3/ADX50/, 31, 1.0255, 0.8261, 0.4667, 0.6842, 0.7632, 1, 0.6452, 0.9184, 0.757685714285714
RSI45/MACD3/ADX35/, 6.86, 0.9994, 0.5455, 0.5, 0.7143, 0.5, 1, 0.2727, 0.9412, 0.6391
RSI45/MACD3/ADX40/, 8, 0.9991, 0.5833, 0.5, 0.76, 0.5385, 1, 0.25, 0.9474, 0.654171428571429
RSI45/MACD3/ADX45/, 8.29, 1.0146, 0.5833, 0.3333, 0.76, 0.5714, 1, 0.25, 0.9474, 0.635057142857143
RSI45/MACD3/ADX50/, 8.57, 1.0143, 0.5833, 0.3333, 0.76, 0.6, 1, 0.25, 0.95, 0.639514285714286
RSI45/MOM0/ADX35/, 4, 0.9971, 0.5, 0.5, 0.8182, 0.4286, 1, 0.25, 1, 0.6424
RSI45/MOM0/ADX40/, 4.43, 0.9962, 0.5, 0.5, 0.8333, 0.5, 1, 0.25, 1, 0.654757142857143
RSI45/MOM0/ADX45/, 4.71, 1.0118, 0.5, 0.3333, 0.8333, 0.5556, 1, 0.25, 1, 0.638885714285714
RSI45/MOM0/ADX50/, 4.86, 1.0123, 0.5, 0.3333, 0.8333, 0.6, 1, 0.25, 1, 0.645228571428571
MOM0/ADX35/, 22.43, 1.0202, 0.8214, 0.6667, 0.678, 0.7586, 1, 0.561, 0.9524, 0.776871428571429
MOM0/ADX40/, 27, 1.0194, 0.8205, 0.5455, 0.6866, 0.7812, 1, 0.62, 0.9362, 0.77
MOM0/ADX45/, 29.57, 1.0254, 0.8333, 0.4667, 0.6712, 0.75, 1, 0.6552, 0.9375, 0.759128571428571
MOM0/ADX50/, 31.29, 1.0257, 0.8261, 0.4667, 0.6842, 0.7632, 1, 0.6508, 0.92, 0.758714285714286
RSI45/ADX35/, 10.14, 1.0084, 0.5714, 0.5, 0.7273, 0.6, 1, 0.3333, 0.9545, 0.6695
RSI45/ADX40/, 11.86, 1.0105, 0.6471, 0.5, 0.7632, 0.625, 1, 0.3125, 0.96, 0.686828571428571
RSI45/ADX45/, 12.14, 1.019, 0.6471, 0.4, 0.7436, 0.6471, 1, 0.3125, 0.96, 0.6729
RSI45/ADX50/, 12.43, 1.0187, 0.6471, 0.4, 0.7436, 0.6667, 1, 0.3125, 0.9615, 0.675914285714286
RSI45/MOM0/MACD3/BOP0.07/, 4.71, 1.01, 0.4, 0.3333, 0.8333, 0.6, 1, 0.25, 1, 0.630942857142857
MOM0/MACD3/BOP0.07/, 29.71, 1.0288, 0.7805, 0.5, 0.7013, 0.775, 1, 0.6735, 0.902, 0.761757142857143
RSI45/MACD3/BOP0.07/, 7.57, 1.0108, 0.4444, 0.3333, 0.7727, 0.6, 1, 0.2, 0.9474, 0.613971428571429
MACD3/BOP0.07/, 55.29, 1.0184, 0.6744, 0.5, 0.7086, 0.7471, 0.8889, 0.6528, 0.9126, 0.726342857142857
RSI45/MOM0/BOP0.07/, 4.71, 1.01, 0.4, 0.3333, 0.8333, 0.6, 1, 0.25, 1, 0.630942857142857
MOM0/BOP0.07/, 30, 1.0291, 0.7805, 0.5, 0.7013, 0.775, 1, 0.68, 0.9038, 0.762942857142857
RSI45/BOP0.07/, 7.57, 1.0108, 0.4444, 0.3333, 0.7727, 0.6, 1, 0.2, 0.9474, 0.613971428571429
BOP0.07/, 55.86, 1.0187, 0.6744, 0.5, 0.7086, 0.75, 0.8889, 0.6622, 0.9135, 0.728228571428571
RSI45/MOM0/MACD3/, 4.86, 1.0123, 0.5, 0.3333, 0.8333, 0.6, 1, 0.25, 1, 0.645228571428571
MOM0/MACD3/, 33.71, 1.023, 0.8, 0.4444, 0.7024, 0.775, 0.8571, 0.6567, 0.8889, 0.732071428571428
RSI45/MACD3/, 8.57, 1.014, 0.5833, 0.3333, 0.76, 0.5625, 1, 0.25, 0.95, 0.634157142857143
RSI45/MOM0/, 4.86, 1.0123, 0.5, 0.3333, 0.8333, 0.6, 1, 0.25, 1, 0.645228571428571
MOM0/, 34, 1.0232, 0.8, 0.4444, 0.7024, 0.775, 0.8571, 0.6618, 0.8909, 0.733085714285714
RSI45/, 17, 1.0267, 0.6667, 0.5, 0.7447, 0.6897, 1, 0.4783, 0.9697, 0.7213
MACD2/BBANDS0.07/ADX35/, 7.29, 0.8826, 0.7391, 1, 0.5, 0.75,, 0.5714, 0.8333, 0.627685714285714
MACD2/BBANDS0.07/ADX40/, 8.57, 0.8837, 0.7037, 1, 0.55, 0.75,, 0.6, 0.8462, 0.6357
MACD2/BBANDS0.07/ADX45/, 9.71, 0.8832, 0.7143, 1, 0.55, 0.75,, 0.6429, 0.8824, 0.648514285714286
MACD2/BBANDS0.07/ADX50/, 10.86, 0.8871, 0.7241, 1, 0.5714, 0.8333,, 0.6452, 0.8947, 0.666957142857143
MACD2/BBANDS0.06/, 10, 0.8586, 0.7826,, 0.5714, 0.6667, 0, 0.7407, 0.8889, 0.521471428571429
MACD2/BBANDS0.05/, 6.43, 0.8594, 0.6923,, 0.6923, 0.6667, 0, 0.8125, 0.8333, 0.528157142857143
MACD3/BBANDS0.07/ADX35/, 21.71, 1.0259, 0.7826, 1, 0.5789, 0.88, 1, 0.6923, 0.8857, 0.831357142857143
MACD3/BBANDS0.07/ADX40/, 25.71, 1.0158, 0.7455, 1, 0.6061, 0.8929, 0.6667, 0.7083, 0.878, 0.785357142857143
MACD3/BBANDS0.07/ADX45/, 28.14, 1.0155, 0.7627, 1, 0.6232, 0.8966, 0.6667, 0.7222, 0.8889, 0.794328571428571
MACD3/BBANDS0.07/ADX50/, 31.29, 1.0167, 0.7576, 1, 0.6486, 0.9032, 0.6667, 0.7288, 0.902, 0.800985714285714
MACD3/BBANDS0.06/, 27.43, 1.0167, 0.7719, 1, 0.6761, 0.8571, 0.75, 0.7708, 0.9111, 0.819571428571429
MACD3/BBANDS0.05/, 19.29, 1.0138, 0.75, 1, 0.7143, 0.8667, 0.75, 0.8387, 0.9, 0.831385714285714
BBANDS0.07/ADX35/, 22, 1.0258, 0.7826, 1, 0.5862, 0.88, 1, 0.6923, 0.8889, 0.832857142857143
BBANDS0.07/ADX40/, 26, 1.0157, 0.7455, 1, 0.6119, 0.8929, 0.6667, 0.7083, 0.881, 0.786614285714286
BBANDS0.07/ADX45/, 28.43, 1.0154, 0.7627, 1, 0.6286, 0.8966, 0.6667, 0.7222, 0.8913, 0.795442857142857
BBANDS0.07/ADX50/, 31.57, 1.0166, 0.7576, 1, 0.6533, 0.9032, 0.6667, 0.7288, 0.9038, 0.801914285714286
MACD2/BBANDS0.07/, 12.71, 1.0218, 0.7647, 1, 0.6296, 0.7143, 0, 0.6471, 0.8571, 0.658971428571429
MACD3/BBANDS0.07/, 36.57, 1.0195, 0.7792, 1, 0.6923, 0.8788, 0.6, 0.7231, 0.8966, 0.795714285714286
RSI50/MOM0/MACD3/BOP0.07/BBANDS0.07/ADX20/, 0.86, 0.595, 1,, 1,,, 1, 1, 0.571428571428571
RSI50/MOM0/MACD3/BOP0.07/BBANDS0.07/ADX25/, 1.71, 0.7534, 1,, 1, 1,, 1, 1, 0.714285714285714
RSI50/MOM0/MACD3/BOP0.07/BBANDS0.07/ADX30/, 1.86, 0.7568, 1,, 0.8333, 1,, 1, 1, 0.690471428571429
RSI50/MOM0/MACD3/BOP0.07/BBANDS0.07/ADX35/, 2.14, 0.7542, 1,, 0.8333, 1,, 1, 1, 0.690471428571429
RSI50/MOM0/MACD3/BOP0.07/BBANDS0.07/ADX40/, 2.29, 0.7516, 0.8,, 0.8571, 1,, 1, 1, 0.6653
RSI50/MOM0/MACD3/BOP0.07/BBANDS0.07/ADX45/, 2.29, 0.7516, 0.8,, 0.8571, 1,, 1, 1, 0.6653
RSI50/MOM0/MACD3/BOP0.07/BBANDS0.07/ADX50/, 2.29, 0.7516, 0.8,, 0.8571, 1,, 1, 1, 0.6653
RSI50/MOM0/MACD3/BOP0.07/BBANDS0.06/, 1.71, 0.7343, 0.8,, 1, 1,, 1, 1, 0.685714285714286
RSI50/MOM0/MACD3/BOP0.07/BBANDS0.05/, 1.43, 0.5816, 0.8,, 1,,, 1, 1, 0.542857142857143
RSI50/MOM0/MACD3/BOP0.07/BBANDS0.04/, 1.14, 0.5796, 1,, 1,,, 1, 1, 0.571428571428571
RSI50/MOM0/MACD3/BOP0.05/, 5.86, 1.021, 0.9, 0.3333, 0.6875, 0.9, 1, 0.6667, 0.8571, 0.763514285714286
RSI50/MOM0/MACD3/BOP0.03/, 5.71, 1.0187, 0.9, 0.3333, 0.6667, 0.9, 1, 0.6667, 0.8571, 0.760542857142857
RSI50/MOM0/MACD3/BOP0.01/, 5.71, 1.0187, 0.9, 0.3333, 0.6667, 0.9, 1, 0.6667, 0.8571, 0.760542857142857
RSI50/MOM0/MACD2/, 6.71, 1.025, 0.9091, 0.5, 0.7059, 0.9, 1, 0.5, 0.875, 0.77
RSI50/MOM0/MACD1/, 6.71, 1.025, 0.9091, 0.5, 0.7059, 0.9, 1, 0.5, 0.875, 0.77
RSI50/MOM0/MACD0/, 6.29, 1.0266, 0.9, 0.5, 0.7333, 0.8889, 1, 0.6667, 0.875, 0.794842857142857
MOM0/MACD3/BOP0.07/BBANDS0.07/ADX20/, 2.71, 0.7237, 1,, 1, 1,, 0.5, 1, 0.642857142857143
MOM0/MACD3/BOP0.07/BBANDS0.07/ADX25/, 5, 0.7351, 1,, 0.9231, 1,, 0.6, 1, 0.646157142857143
MOM0/MACD3/BOP0.07/BBANDS0.07/ADX30/, 7, 0.735, 1,, 0.75, 0.8571,, 0.7778, 0.9286, 0.616214285714286
MOM0/MACD3/BOP0.07/BBANDS0.07/ADX35/, 8.71, 0.7359, 1,, 0.7391, 0.9,, 0.8571, 0.9333, 0.632785714285714
MOM0/MACD3/BOP0.07/BBANDS0.07/ADX40/, 10.57, 0.8856, 0.9167,, 0.7308, 0.9167, 1, 0.8889, 0.8889, 0.763142857142857
MOM0/MACD3/BOP0.07/BBANDS0.07/ADX45/, 11.29, 0.8851, 0.9231,, 0.75, 0.9231, 1, 0.85, 0.8889, 0.762157142857143
MOM0/MACD3/BOP0.07/BBANDS0.07/ADX50/, 11.86, 0.8856, 0.875,, 0.75, 0.9231, 1, 0.8571, 0.8947, 0.757128571428571
MOM0/MACD3/BOP0.07/BBANDS0.06/, 9.29, 0.8897, 0.8667,, 0.7727, 1, 1, 0.9167, 0.9375, 0.7848
MOM0/MACD3/BOP0.07/BBANDS0.05/, 7.14, 0.8871, 0.8571,, 0.8, 1, 1, 0.9, 1, 0.793871428571429
MOM0/MACD3/BOP0.07/BBANDS0.04/, 4.71, 0.8832, 1,, 0.75, 1, 1, 1, 1, 0.821428571428571
RSI50/MACD3/BOP0.07/BBANDS0.07/ADX20/, 1.71, 0.7446, 1,, 1, 1,, 1, 1, 0.714285714285714
RSI50/MACD3/BOP0.07/BBANDS0.07/ADX25/, 2.71, 0.7417, 1,, 0.5556, 1,, 1, 1, 0.6508
RSI50/MACD3/BOP0.07/BBANDS0.07/ADX30/, 3.43, 0.7414, 1,, 0.5833, 1,, 1, 1, 0.654757142857143
RSI50/MACD3/BOP0.07/BBANDS0.07/ADX35/, 3.86, 0.7406, 1,, 0.5714, 1,, 1, 1, 0.653057142857143
RSI50/MACD3/BOP0.07/BBANDS0.07/ADX40/, 4.29, 0.73, 0.8571,, 0.6471, 1,, 0.6667, 1, 0.595842857142857
RSI50/MACD3/BOP0.07/BBANDS0.07/ADX45/, 4.43, 0.7296, 0.875,, 0.6471, 1,, 0.6667, 1, 0.5984
RSI50/MACD3/BOP0.07/BBANDS0.07/ADX50/, 4.43, 0.7296, 0.875,, 0.6471, 1,, 0.6667, 1, 0.5984
RSI50/MACD3/BOP0.07/BBANDS0.06/, 3.29, 0.7253, 0.875,, 0.6923, 1,, 0.5, 1, 0.581042857142857
RSI50/MACD3/BOP0.07/BBANDS0.05/, 2.29, 0.577, 0.875,, 0.7,,, 1, 1, 0.510714285714286
RSI50/MACD3/BOP0.07/BBANDS0.04/, 1.71, 0.5768, 1,, 0.8333,,, 1, 1, 0.547614285714286
RSI50/MACD3/BOP0.05/, 11.14, 1.0144, 0.9333, 0.3333, 0.6571, 0.7083, 1, 0.4545, 0.8947, 0.7116
RSI50/MACD3/BOP0.03/, 10.86, 1.015, 0.9333, 0.3333, 0.6471, 0.6957, 1, 0.5, 0.8947, 0.714871428571429
RSI50/MACD3/BOP0.01/, 10.86, 1.015, 0.9333, 0.3333, 0.6471, 0.6957, 1, 0.5, 0.8947, 0.714871428571429
RSI50/MACD2/, 14.43, 1.0241, 0.9, 0.5, 0.6522, 0.72, 1, 0.48, 0.9091, 0.737328571428572
RSI50/MACD1/, 14.43, 1.0241, 0.9, 0.5, 0.6522, 0.72, 1, 0.48, 0.9091, 0.737328571428572
RSI50/MACD0/, 12, 1.0208, 0.9375, 0.5, 0.6857, 0.7273, 1, 0.4, 0.9091, 0.737085714285714
MACD3/BOP0.07/BBANDS0.07/ADX20/, 4.57, 0.8742, 0.9,, 0.875, 1, 1, 0.5714, 1, 0.763771428571429
MACD3/BOP0.07/BBANDS0.07/ADX25/, 8.29, 0.8755, 0.9333,, 0.6087, 1, 1, 0.625, 1, 0.738142857142857
MACD3/BOP0.07/BBANDS0.07/ADX30/, 11.86, 1.0181, 0.8947, 1, 0.5882, 0.8824, 1, 0.75, 0.9091, 0.860628571428571
MACD3/BOP0.07/BBANDS0.07/ADX35/, 14.43, 1.0213, 0.8261, 1, 0.6098, 0.9048, 1, 0.8333, 0.913, 0.869571428571429
MACD3/BOP0.07/BBANDS0.07/ADX40/, 17.14, 1.0098, 0.7857, 1, 0.6304, 0.9167, 0.6667, 0.8261, 0.8929, 0.816928571428571
MACD3/BOP0.07/BBANDS0.07/ADX45/, 18.43, 1.009, 0.8065, 1, 0.6531, 0.92, 0.6667, 0.8077, 0.8929, 0.820985714285714
MACD3/BOP0.07/BBANDS0.07/ADX50/, 20.29, 1.0092, 0.7778, 1, 0.6792, 0.92, 0.6667, 0.8214, 0.9062, 0.824471428571428
MACD3/BOP0.07/BBANDS0.06/, 17.14, 1.0211, 0.75, 1, 0.72, 0.9333, 1, 0.8095, 0.9259, 0.876957142857143
MACD3/BOP0.07/BBANDS0.05/, 12.57, 1.0173, 0.76, 1, 0.7222, 1, 1, 0.8667, 0.9444, 0.899042857142857
MACD3/BOP0.07/BBANDS0.04/, 7.86, 1.0135, 0.8667, 1, 0.7619, 1, 1, 0.9, 1, 0.932657142857143
RSI50/MOM0/BOP0.07/BBANDS0.07/ADX20/, 0.86, 0.595, 1,, 1,,, 1, 1, 0.571428571428571
RSI50/MOM0/BOP0.07/BBANDS0.07/ADX25/, 1.71, 0.7534, 1,, 1, 1,, 1, 1, 0.714285714285714
RSI50/MOM0/BOP0.07/BBANDS0.07/ADX30/, 1.86, 0.7568, 1,, 0.8333, 1,, 1, 1, 0.690471428571429
RSI50/MOM0/BOP0.07/BBANDS0.07/ADX35/, 2.14, 0.7542, 1,, 0.8333, 1,, 1, 1, 0.690471428571429
RSI50/MOM0/BOP0.07/BBANDS0.07/ADX40/, 2.29, 0.7516, 0.8,, 0.8571, 1,, 1, 1, 0.6653
RSI50/MOM0/BOP0.07/BBANDS0.07/ADX45/, 2.29, 0.7516, 0.8,, 0.8571, 1,, 1, 1, 0.6653
RSI50/MOM0/BOP0.07/BBANDS0.07/ADX50/, 2.29, 0.7516, 0.8,, 0.8571, 1,, 1, 1, 0.6653
RSI50/MOM0/BOP0.07/BBANDS0.06/, 1.71, 0.7343, 0.8,, 1, 1,, 1, 1, 0.685714285714286
RSI50/MOM0/BOP0.07/BBANDS0.05/, 1.43, 0.5816, 0.8,, 1,,, 1, 1, 0.542857142857143
RSI50/MOM0/BOP0.07/BBANDS0.04/, 1.14, 0.5796, 1,, 1,,, 1, 1, 0.571428571428571
RSI50/MOM0/BOP0.05/, 5.86, 1.021, 0.9, 0.3333, 0.6875, 0.9, 1, 0.6667, 0.8571, 0.763514285714286
RSI50/MOM0/BOP0.03/, 5.71, 1.0187, 0.9, 0.3333, 0.6667, 0.9, 1, 0.6667, 0.8571, 0.760542857142857
RSI50/MOM0/BOP0.01/, 5.71, 1.0187, 0.9, 0.3333, 0.6667, 0.9, 1, 0.6667, 0.8571, 0.760542857142857
MOM0/BOP0.07/BBANDS0.07/ADX20/, 2.71, 0.7237, 1,, 1, 1,, 0.5, 1, 0.642857142857143
MOM0/BOP0.07/BBANDS0.07/ADX25/, 5, 0.7351, 1,, 0.9231, 1,, 0.6, 1, 0.646157142857143
MOM0/BOP0.07/BBANDS0.07/ADX30/, 7, 0.735, 1,, 0.75, 0.8571,, 0.7778, 0.9286, 0.616214285714286
MOM0/BOP0.07/BBANDS0.07/ADX35/, 8.86, 0.7357, 1,, 0.7391, 0.9,, 0.8571, 0.9375, 0.633385714285714
MOM0/BOP0.07/BBANDS0.07/ADX40/, 10.71, 0.8855, 0.9167,, 0.7308, 0.9167, 1, 0.8889, 0.8947, 0.763971428571429
MOM0/BOP0.07/BBANDS0.07/ADX45/, 11.43, 0.8849, 0.9231,, 0.75, 0.9231, 1, 0.85, 0.8947, 0.762985714285714
MOM0/BOP0.07/BBANDS0.07/ADX50/, 12, 0.8854, 0.875,, 0.75, 0.9231, 1, 0.8571, 0.9, 0.757885714285714
MOM0/BOP0.07/BBANDS0.06/, 9.43, 0.8895, 0.8667,, 0.7727, 1, 1, 0.9167, 0.9412, 0.785328571428571
MOM0/BOP0.07/BBANDS0.05/, 7.29, 0.8867, 0.8571,, 0.8, 1, 1, 0.9, 1, 0.793871428571429
MOM0/BOP0.07/BBANDS0.04/, 4.86, 0.8827, 1,, 0.75, 1, 1, 1, 1, 0.821428571428571
RSI50/BOP0.07/BBANDS0.07/ADX20/, 1.71, 0.7446, 1,, 1, 1,, 1, 1, 0.714285714285714
RSI50/BOP0.07/BBANDS0.07/ADX25/, 2.71, 0.7417, 1,, 0.5556, 1,, 1, 1, 0.6508
RSI50/BOP0.07/BBANDS0.07/ADX30/, 3.43, 0.7414, 1,, 0.5833, 1,, 1, 1, 0.654757142857143
RSI50/BOP0.07/BBANDS0.07/ADX35/, 3.86, 0.7406, 1,, 0.5714, 1,, 1, 1, 0.653057142857143
RSI50/BOP0.07/BBANDS0.07/ADX40/, 4.29, 0.73, 0.8571,, 0.6471, 1,, 0.6667, 1, 0.595842857142857
RSI50/BOP0.07/BBANDS0.07/ADX45/, 4.43, 0.7296, 0.875,, 0.6471, 1,, 0.6667, 1, 0.5984
RSI50/BOP0.07/BBANDS0.07/ADX50/, 4.43, 0.7296, 0.875,, 0.6471, 1,, 0.6667, 1, 0.5984
RSI50/BOP0.07/BBANDS0.06/, 3.29, 0.7253, 0.875,, 0.6923, 1,, 0.5, 1, 0.581042857142857
RSI50/BOP0.07/BBANDS0.05/, 2.29, 0.577, 0.875,, 0.7,,, 1, 1, 0.510714285714286
RSI50/BOP0.07/BBANDS0.04/, 1.71, 0.5768, 1,, 0.8333,,, 1, 1, 0.547614285714286
RSI50/BOP0.05/, 11.14, 1.0144, 0.9333, 0.3333, 0.6571, 0.7083, 1, 0.4545, 0.8947, 0.7116
RSI50/BOP0.03/, 10.86, 1.015, 0.9333, 0.3333, 0.6471, 0.6957, 1, 0.5, 0.8947, 0.714871428571429
RSI50/BOP0.01/, 10.86, 1.015, 0.9333, 0.3333, 0.6471, 0.6957, 1, 0.5, 0.8947, 0.714871428571429
BOP0.07/BBANDS0.07/ADX20/, 4.57, 0.8742, 0.9,, 0.875, 1, 1, 0.5714, 1, 0.763771428571429
BOP0.07/BBANDS0.07/ADX25/, 8.29, 0.8755, 0.9333,, 0.6087, 1, 1, 0.625, 1, 0.738142857142857
BOP0.07/BBANDS0.07/ADX30/, 11.86, 1.0181, 0.8947, 1, 0.5882, 0.8824, 1, 0.75, 0.9091, 0.860628571428571
BOP0.07/BBANDS0.07/ADX35/, 14.57, 1.0211, 0.8261, 1, 0.6098, 0.9048, 1, 0.8333, 0.9167, 0.8701
BOP0.07/BBANDS0.07/ADX40/, 17.29, 1.0097, 0.7857, 1, 0.6304, 0.9167, 0.6667, 0.8261, 0.8966, 0.817457142857143
BOP0.07/BBANDS0.07/ADX45/, 18.57, 1.0088, 0.8065, 1, 0.6531, 0.92, 0.6667, 0.8077, 0.8966, 0.821514285714286
BOP0.07/BBANDS0.07/ADX50/, 20.43, 1.009, 0.7778, 1, 0.6792, 0.92, 0.6667, 0.8214, 0.9091, 0.824885714285714
BOP0.07/BBANDS0.06/, 17.43, 1.0212, 0.75, 1, 0.72, 0.9333, 1, 0.8182, 0.9286, 0.878585714285714
BOP0.07/BBANDS0.05/, 12.71, 1.0171, 0.76, 1, 0.7222, 1, 1, 0.8667, 0.9474, 0.899471428571428
BOP0.07/BBANDS0.04/, 8, 1.0132, 0.8667, 1, 0.7619, 1, 1, 0.9, 1, 0.932657142857143
RSI50/MOM0/MACD3/BBANDS0.07/ADX20/, 0.86, 0.5896, 1,, 1,,, 0.5, 1, 0.5
RSI50/MOM0/MACD3/BBANDS0.07/ADX25/, 1.86, 0.7456, 1,, 1, 1,, 0.5, 1, 0.642857142857143
RSI50/MOM0/MACD3/BBANDS0.07/ADX30/, 2, 0.7491, 1,, 0.8333, 1,, 0.5, 1, 0.619042857142857
RSI50/MOM0/MACD3/BBANDS0.07/ADX35/, 2.43, 0.7458, 1,, 0.8333, 1,, 0.6, 1, 0.633328571428571
RSI50/MOM0/MACD3/BBANDS0.07/ADX40/, 2.57, 0.7432, 0.8,, 0.8571, 1,, 0.6, 1, 0.608157142857143
RSI50/MOM0/MACD3/BBANDS0.07/ADX45/, 2.57, 0.7432, 0.8,, 0.8571, 1,, 0.6, 1, 0.608157142857143
RSI50/MOM0/MACD3/BBANDS0.07/ADX50/, 2.57, 0.7432, 0.8,, 0.8571, 1,, 0.6, 1, 0.608157142857143
RSI50/MOM0/MACD3/BBANDS0.06/, 2, 0.7327, 0.8,, 1, 1,, 0.5, 1, 0.614285714285714
RSI50/MOM0/MACD3/BBANDS0.05/, 1.57, 0.5739, 0.8,, 1,,, 0.5, 1, 0.471428571428571
RSI50/MOM0/MACD3/BBANDS0.04/, 1.29, 0.5719, 1,, 1,,, 0.5, 1, 0.5
MOM0/MACD3/BBANDS0.07/ADX20/, 2.71, 0.7225, 1,, 1, 1,, 0.3333, 1, 0.619042857142857
MOM0/MACD3/BBANDS0.07/ADX25/, 5.29, 0.7323, 1,, 0.9231, 1,, 0.4, 1, 0.617585714285714
MOM0/MACD3/BBANDS0.07/ADX30/, 7.57, 0.7326, 1,, 0.75, 0.8571,, 0.5714, 0.9286, 0.586728571428571
MOM0/MACD3/BBANDS0.07/ADX35/, 9.57, 0.7349, 1,, 0.7391, 0.9,, 0.6842, 0.9412, 0.609214285714286
MOM0/MACD3/BBANDS0.07/ADX40/, 11.86, 0.8845, 0.8824,, 0.7037, 0.9167, 1, 0.76, 0.9, 0.737542857142857
