TestName, AverageSymbols, AverageGain, December17, Feburary18, Janurary18, March18, November17, October17, September17, SuccessPercent
MACD3/ADX40/, 75.14, 1.0097, 0.6644, 0.5263, 0.6413, 0.7412, 0.7273, 0.6595, 0.8413, 0.6859
MACD3/ADX45/, 82, 1.0108, 0.6792, 0.4583, 0.6231, 0.7283, 0.75, 0.681, 0.8485, 0.6812
MACD3/ADX50/, 89.14, 1.0111, 0.6802, 0.44, 0.6479, 0.74, 0.75, 0.6833, 0.8552, 0.685228571428571
MACD2/, 100.71, 1.0115, 0.6888, 0.4444, 0.6667, 0.729, 0.7059, 0.6844, 0.8509, 0.681442857142857
RSI60/ADX20/, 7, 0.8634, 0.6364,, 0.5455, 0.8571, 0.5, 0.5333, 0.9333, 0.572228571428571
RSI60/ADX25/, 13, 1.0111, 0.6765, 0.5, 0.5926, 0.8667, 0.6667, 0.4857, 0.7308, 0.645571428571429
RSI60/ADX30/, 19.43, 1.0102, 0.6364, 0.4, 0.6346, 0.75, 0.6667, 0.54, 0.7838, 0.630214285714286
RSI60/ADX35/, 23.71, 1.0173, 0.6346, 0.5, 0.6667, 0.7857, 0.6667, 0.5439, 0.8049, 0.6575
RSI60/ADX40/, 26, 1.0109, 0.6071, 0.3333, 0.662, 0.7647, 0.6667, 0.5556, 0.814, 0.629057142857143
RSI60/ADX45/, 26.57, 1.0114, 0.6034, 0.3636, 0.6528, 0.75, 0.6667, 0.5625, 0.814, 0.630428571428571
RSI60/ADX50/, 27.57, 1.0113, 0.5968, 0.3636, 0.6575, 0.7368, 0.6667, 0.5672, 0.8182, 0.629542857142857
ADX20/, 17, 1.0136, 0.7, 0.75, 0.6875, 0.8667, 0.6667, 0.525, 0.9091, 0.729285714285714
ADX25/, 33.43, 1.0096, 0.7164, 0.5, 0.5769, 0.8611, 0.8, 0.5341, 0.8088, 0.685328571428571
ADX30/, 49.71, 1.0125, 0.6737, 0.5385, 0.6129, 0.7736, 0.8333, 0.5985, 0.8, 0.690071428571429
ADX35/, 63.71, 1.0147, 0.6504, 0.6, 0.6398, 0.7534, 0.7778, 0.6306, 0.8304, 0.697485714285714
ADX40/, 77.14, 1.0117, 0.6623, 0.5263, 0.6471, 0.7471, 0.7692, 0.6684, 0.8425, 0.6947
ADX45/, 84.86, 1.0127, 0.6728, 0.48, 0.6324, 0.7368, 0.7857, 0.6912, 0.8496, 0.692642857142857
ADX50/, 92.29, 1.0128, 0.6705, 0.4615, 0.656, 0.7476, 0.7857, 0.6957, 0.8562, 0.696171428571429
RSI60/MACD3/, 21.43, 1.0082, 0.569, 0.25, 0.6792, 0.7778, 0.6667, 0.6, 0.7647, 0.615342857142857
MACD3/, 103.57, 1.0113, 0.6915, 0.4286, 0.6601, 0.729, 0.7222, 0.6926, 0.8364, 0.680057142857143
RSI60/, 55, 1.0202, 0.6429, 0.4167, 0.6959, 0.7381, 0.8571, 0.5577, 0.883, 0.684485714285714
RSI45/MOM0/MACD3/BOP0.05/ADX35/, 2.14, 0.9925, 0.25, 0.5, 0.8333, 0.3333, 1, 0.2, 1, 0.588085714285714
RSI45/MOM0/MACD3/BOP0.05/ADX40/, 2.29, 0.991, 0.25, 0.5, 0.8571, 0.3333, 1, 0.2, 1, 0.591485714285714
RSI45/MOM0/MACD3/BOP0.05/ADX45/, 2.43, 1.0065, 0.25, 0.3333, 0.8571, 0.3333, 1, 0.2, 1, 0.567671428571429
RSI45/MOM0/MACD3/BOP0.05/ADX50/, 2.57, 1.0075, 0.25, 0.3333, 0.8571, 0.4286, 1, 0.2, 1, 0.581285714285714
RSI45/MOM0/MACD3/BOP0.03/, 4.71, 1.01, 0.4, 0.3333, 0.8333, 0.6, 1, 0.25, 1, 0.630942857142857
RSI45/MOM0/MACD3/BOP0.01/, 4.57, 1.0093, 0.4, 0.3333, 0.8333, 0.5556, 1, 0.25, 1, 0.6246
RSI45/MOM0/MACD3/BOP-0.01/, 4.57, 1.0093, 0.4, 0.3333, 0.8333, 0.5556, 1, 0.25, 1, 0.6246
RSI45/MOM0/MACD3/BOP-0.03/, 4.57, 1.0093, 0.4, 0.3333, 0.8333, 0.625, 1, 0.25, 1, 0.634514285714286
RSI45/MOM0/MACD3/BOP-0.05/, 4.57, 1.0093, 0.4, 0.3333, 0.8333, 0.625, 1, 0.25, 1, 0.634514285714286
RSI45/MOM0/MACD3/BOP-0.07/, 4.43, 1.0029, 0.4, 0, 0.8333, 0.625, 1, 0.25, 1, 0.5869
RSI45/MOM0/MACD2/, 4.86, 1.0123, 0.5, 0.3333, 0.8333, 0.6, 1, 0.25, 1, 0.645228571428571
RSI45/MOM0/MACD1/, 4.86, 1.0123, 0.5, 0.3333, 0.8333, 0.6, 1, 0.25, 1, 0.645228571428571
RSI45/MOM0/MACD0/, 4.71, 1.008, 0.5, 0, 0.8333, 0.6667, 1, 0.25, 1, 0.607142857142857
RSI45/MOM0/MACD-1/, 0.71, 0.5937, 0.5,, 1, 0.5,,, 1, 0.428571428571429
RSI50/, 29.14, 1.028, 0.7568, 0.5, 0.7143, 0.7255, 1, 0.5111, 0.9583, 0.738
RSI55/, 42.29, 1.0275, 0.717, 0.45, 0.7143, 0.7183, 1, 0.5316, 0.9296, 0.722971428571428
MOM0/MACD3/BOP0.05/ADX35/, 11.29, 1.0078, 0.5833, 0.625, 0.6364, 0.6842, 1, 0.4118, 0.9583, 0.699857142857143
MOM0/MACD3/BOP0.05/ADX40/, 13.14, 1.0163, 0.7222, 0.625, 0.6667, 0.7, 1, 0.4444, 0.9615, 0.7314
MOM0/MACD3/BOP0.05/ADX45/, 14.57, 1.0259, 0.75, 0.5, 0.625, 0.6522, 1, 0.5238, 0.963, 0.716285714285714
MOM0/MACD3/BOP0.05/ADX50/, 15.29, 1.0289, 0.7619, 0.5, 0.6341, 0.68, 1, 0.5, 0.963, 0.719857142857143
MOM0/MACD3/BOP0.03/, 28.86, 1.0277, 0.775, 0.5, 0.6892, 0.775, 1, 0.6596, 0.902, 0.757257142857143
MOM0/MACD3/BOP0.01/, 28.57, 1.0276, 0.775, 0.5, 0.6849, 0.7692, 1, 0.6596, 0.902, 0.755814285714286
MOM0/MACD3/BOP-0.01/, 28.29, 1.0276, 0.7632, 0.5, 0.6849, 0.7692, 1, 0.6596, 0.902, 0.754128571428571
MOM0/MACD3/BOP-0.03/, 28.14, 1.0276, 0.7568, 0.5, 0.6849, 0.7895, 1, 0.6739, 0.902, 0.758157142857143
MOM0/MACD3/BOP-0.05/, 27.71, 1.0268, 0.7429, 0.4615, 0.6849, 0.7895, 1, 0.6739, 0.902, 0.750671428571429
MOM0/MACD3/BOP-0.07/, 27.43, 1.0269, 0.7429, 0.4545, 0.6944, 0.7895, 1, 0.6667, 0.902, 0.75
MOM0/MACD2/, 33.43, 1.0225, 0.8, 0.4444, 0.7024, 0.775, 0.8571, 0.6462, 0.8889, 0.730571428571429
MOM0/MACD1/, 32, 1.0218, 0.8085, 0.4444, 0.6875, 0.775, 0.8571, 0.623, 0.8889, 0.726342857142857
MOM0/MACD0/, 23.57, 1.0289, 0.76, 0.5, 0.7302, 0.7812, 1, 0.6053, 0.9333, 0.758571428571429
MOM0/MACD-1/, 3.57, 0.8816, 0.6667, 0.5, 0.7, 0.6667,, 0.625, 0.8571, 0.573642857142857
RSI45/MACD3/BOP0.05/ADX35/, 4.14, 0.9993, 0.3333, 0.5, 0.9, 0.4545, 1, 0.1667, 0.9091, 0.609085714285714
RSI45/MACD3/BOP0.05/ADX40/, 4.71, 1.001, 0.4286, 0.5, 0.9231, 0.4545, 1, 0.1667, 0.9091, 0.626
RSI45/MACD3/BOP0.05/ADX45/, 4.86, 1.0165, 0.4286, 0.3333, 0.9231, 0.4545, 1, 0.1667, 0.9091, 0.602185714285714
RSI45/MACD3/BOP0.05/ADX50/, 5.14, 1.0158, 0.4286, 0.3333, 0.9231, 0.5, 1, 0.1667, 0.9167, 0.609771428571429
RSI45/MACD3/BOP0.03/, 7.57, 1.0108, 0.4444, 0.3333, 0.7727, 0.6, 1, 0.2, 0.9474, 0.613971428571429
RSI45/MACD3/BOP0.01/, 7.43, 1.0104, 0.4444, 0.3333, 0.7727, 0.5714, 1, 0.2, 0.9474, 0.609885714285714
RSI45/MACD3/BOP-0.01/, 7.43, 1.0104, 0.4444, 0.3333, 0.7727, 0.5714, 1, 0.2, 0.9474, 0.609885714285714
RSI45/MACD3/BOP-0.03/, 7.43, 1.0133, 0.5, 0.3333, 0.7727, 0.6154, 1, 0.2222, 0.9474, 0.627285714285714
