Symbol, ADX, BBANDS, BOP, MACD, MOM, RSI, Gain
PMBC,12.9194,0.0736,-0.4348,-0.1319,-0.0096,38.5819,1.1497
PVBC,14.3612,0.0941,-0.3333,-0.146,0.0028,52.4932,1.1236
RF,37.8109,0.1008,0.0887,0.3539,0.032,69.4711,0.9469
RMD,49.7052,0.0832,-0.3635,0.7957,0.0297,61.9617,1.0414
SBT,53.4874,0.1986,0.5257,0.197,0.0703,38.5969,0.9589
SC,40.9374,0.0676,-0.3038,-0.3552,-0.0204,43.6064,0.9891
SF,41.4764,0.0954,-0.3256,0.068,0.0365,58.8116,0.9222
SIVB,37.9255,0.0859,0.1206,1.0957,0.0313,67.0379,0.9542
SLB,25.3288,0.1937,-0.6686,-1.6449,-0.0002,43.1623,0.9774
SMPL,20.3,0.0323,-0.4,-0.0401,0.022,54.7219,1.0221
SPG,18.7957,0.0145,-0.7448,-1.8191,-0.0035,38.3562,1.0026
STRT,27.8458,0.1618,-0.6232,-0.9685,-0.0017,36.809,1.0392
SVBI,26.1182,0.111,-0.8033,-0.1068,-0.062,46.8646,0.9932
SVU,27.0219,0.2027,-0.5789,-0.8246,-0.0392,45.5655,1.023
SYMC,34.427,0.0861,-0.019,-0.1179,-0.0004,40.8507,0.9786
TBK,43.6353,0.1433,0.3882,1.4076,0.0679,84.6994,1.0066
TCF,48.2213,0.0963,0.5975,0.3059,0.0379,74.6343,1.0146
TER,31.2817,0.129,-0.0301,0.0837,0.0713,59.5471,1.0056
TSC,16.8436,0.0995,-0.6863,-0.2175,-0.0035,46.8886,1.0437
TSRI,50.9947,0.2566,-0.5,0.036,-0.023,47.7014,1.0248
UBFO,22.0264,0.0673,-0.6987,-0.1443,-0.0136,46.492,1.0435
UCFC,19.6239,0.0533,-0.6508,0.0289,0.0038,48.8268,1.0734
UTMD,55.1199,0.0794,-0.1319,1.2099,0.02,60.9693,1.1405
VAR,20.0833,0.1111,-0.4534,1.4459,0.0205,59.631,1.0357
VOXX,19.9407,0.1069,-0.4673,-0.1179,0.0364,40.6801,0.9215
VRTX,22.6066,0.139,-0.2811,1.8564,0.0706,65.5137,0.9852
WABC,16.4448,0.0667,-0.3048,-0.0217,0.0072,47.3069,1.0213
WDC,12.3504,0.1364,-0.0324,0.9896,0.0571,55.3238,1.05
WERN,37.6043,0.1195,-0.5841,-0.3735,0.0066,51.5229,0.9724
WFC,31.398,0.189,-0.6121,-0.5702,0.0074,45.5064,0.895
WRK,32.4942,0.1028,0.0762,0.1263,0.0363,53.7953,0.9806
WVFC,25.0231,0.0964,-0.2172,-0.0769,-0.0292,53.8608,0.9168
WYNN,45.4407,0.0376,0.0776,-1.1857,0.012,51.7619,1.0857
XLNX,20.7034,0.1378,-0.1317,-0.1316,0.0757,55.7952,1.0177
