Symbol,ADX,Bbands,BOP,MACD,MOM,RSI,Gain
NJR,34.0553,0.067663108,-0.6042,-0.2576,-0.023487544,51.9162,1.046893318
NEWT,17.3414,0.046666667,0.4839,0.1151,-0.006958474,63.1168,0.97265625
NWN,33.1031,0.069677019,-0.4309,-0.0793,-0.033074534,54.0602,1.023846154
DNOW,30.1668,0.199580014,0.9591,0.1811,0.056915279,45.5041,0.905823149
NTN,15.9033,0.271372549,-0.5907,-0.1978,-0.102614379,38.9373,0.977272727
OXY,28.1273,0.103846753,0.704,1.119,0.055193895,64.5914,1.013250195
OCLR,15.9544,0.117381228,0.1221,-0.0131,-0.021089224,45.2379,0.942437923
OSK,31.5459,0.147344318,0.7157,2.2274,0.069372425,76.2346,1.117626113
PJT,26.3815,0.100135735,-0.1131,-0.4571,-0.008509528,50.0385,1.023663315
PRTK,36.2955,0.231083665,-0.6969,0.2715,-0.017928287,58.823,0.861328125
PFBI,23.83,0.268150528,0.5097,0.7355,0.140339605,63.5132,0.963131818
QTWO,23.9339,0.060254502,0.2969,0.185,-0.004321729,66.4926,1.002331002
QUAD,29.2003,0.290420168,0.6928,0.7788,0.128704113,57.5622,0.996569468
RYN,12.5088,0.025628245,-0.1102,0.0745,0.017583939,54.1214,1.03054221
REXR,48.4938,0.069825297,-0.6192,-0.0604,-0.048148148,56.9115,1.018107277
RNG,47.836,0.087894611,-0.1209,0.1511,-0.045269461,68.5971,0.953776776
SHEN,27.6762,0.161182796,0.189,0.9782,0.111021505,62.9546,0.993540052
STRL,38.1198,0.262271832,0.7778,0.8715,0.03309258,73.6668,1.203908795
INN,36.959,0.098961851,0.654,0.1146,0.034396498,47.5318,1.015902713
SUPN,42.8514,0.438045,-0.432,-1.6643,-0.236,46.6596,1.02195122
SYX,73.8683,0.146076428,0.3254,0.9452,0.090881574,74.5793,1.049204052
TTWO,75.2584,0.096042258,0.4928,2.1062,-0.000528221,90.6011,1.07631068
CC,40.0612,0.056771389,0.3014,0.8902,0.010116578,68.2185,1.083412322
TG,21.8247,0.141244444,0.6471,0.416,0.082222222,63.5052,1.045698925
WPX,24.861,0.245443478,0.6757,0.3862,0.106086957,60.1506,0.990401396
AAC,35.7473,0.246203424,0.17,0.2932,-0.143403827,61.107,0.831840796
ADSW,20.8582,0.068019055,0.7556,0.3096,0.007383882,70.4745,0.979599843
AJRD,54.1253,0.317497858,0.6284,2.0131,0.186918023,84.0705,0.887800783
AET,43.3277,0.085695239,0.0873,-0.6905,-0.047594491,61.0721,1.062729479
AGI,19.701,0.405650888,-0.8824,-0.2366,-0.061242604,40.2146,0.957163959
Y,26.3664,0.069698381,-0.2285,-5.8113,-0.022172885,37.17,1.020563062
AMCX,22.5275,0.09177698,-0.4839,-0.2253,0.026509321,49.536,0.86926567
AM,17.8249,0.116194101,-0.7204,-0.2453,0.001966381,43.9638,0.911044399
ANH,18.203,0.036938436,-0.2609,0.0131,0.011647255,51.0297,0.936521022
AAOI,22.6595,0.194451832,0.3354,-0.4551,0.081057677,51.1811,0.653840304
APTI,26.4748,0.127287493,0.3604,0.2001,0.028695181,63.246,1.295816364
BMRN,23.0056,0.074778124,0.4607,1.719,0.017578167,57.3702,0.876664553
BLDR,24.3016,0.139777654,0.7931,0.4193,0.057142857,67.3523,1.003325942
CZR,36.3512,0.20388015,0.8537,0.2911,0.076404494,70.8821,0.953608247
ELY,49.5668,0.071157311,0.5408,0.2014,0.007484407,73.8056,0.989434219
CPE,27.6695,0.213523132,0.3907,0.2083,0.048754448,53.4165,0.978965819
CNQ,25.7794,0.11771275,0.6711,0.7965,0.041325769,65.608,1.047237077
CSII,21.6294,0.204142096,-0.2629,-0.5951,-0.083410302,41.4917,0.831961591
CWST,40.415,0.122755319,0.8115,0.461,0.039680851,72.6904,0.987288136
CAVM,20.4852,0.131671216,0.2557,0.7985,0.014619351,53.6334,1.000574548
CNP,38.4429,0.058404656,-0.3161,0.0044,-0.02766176,56.29,1.012465847
CLVS,22.7509,0.282987864,0.294,0.5694,0.092305825,57.3044,0.933687003
CNAT,16.6388,0.183023679,-0.2596,0.0004,-0.063023679,48.7209,0.856373429
MCF,32.697,0.258687873,0.3023,0.032,0.172166998,40.7924,0.805168986
CMT,47.0115,0.094630811,0.5626,0.2428,0.037648131,61.0009,1.054054054
DCT,37.8356,0.036512431,-0.1692,0.2124,-0.021719613,63.594,0.990364939
DMLP,23.4869,0.065315615,0.5,0.1348,0.031893688,50.1644,0.981132075
EMKR,29.2938,0.146658537,-0.9048,-0.2143,-0.054878049,34.1827,1.005952381
EEX,25.6926,0.084320138,0.7346,0.296,0.022719449,70.0525,0.995362563
EMES,26.7358,0.488300971,0.48,0.5709,0.146359223,47.6462,0.869147659
EBS,28.5993,0.11429419,0.631,0.869,0.035451174,78.6582,0.997822932
EGL,23.3712,0.208956171,0.5814,1.0452,0.114763552,68.4251,0.949139724
ETSY,63.0584,0.071990521,0.2395,0.2648,-0.036492891,71.4243,0.97517321
EVBG,21.3783,0.231067373,0.6951,0.783,0.09015897,68.6055,0.975454545
EXEL,32.5737,0.300090797,-0.8299,-0.7526,-0.131737515,46.9883,1.07582552
FORM,37.8561,0.166682493,0.7269,0.5092,0.042136499,77.0428,1.085394582
FBM,24.1809,0.120282885,0.519,0.3642,0.047524752,59.79,0.925761204
GTT,40.3474,0.11000316,-0.0149,0.3901,0.040442338,55.8231,1.123266564
GDI,28.345,0.214207849,0.8076,0.9843,0.083430233,70.265,1.059985632
BRSS,17.4378,0.186005917,0.6875,0.9457,0.089349112,63.6406,1.026086957
HDNG,27.7779,0.184557957,0.5401,0.4531,0.088932547,76.7614,1.051964512
