Symbol,ADX,Bbands,BOP,MACD,MOM,RSI,Gain
RGA,43.7535,0.117971501,0.7193,4.1974,0.073772634,81.937,0.96697417
RUSHB,54.079,0.04272156,-0.5284,0.2285,0.001343445,67.495,1.061352344
SIFI,14.8515,0.089236842,-0.0435,0.0015,0.045394737,54.2337,0.97704918
SRPT,37.8583,0.085013575,0.6943,1.4341,0.010570136,69.2668,1.001406223
SWN,21.3705,0.174012539,0.6518,0.1565,0.004702194,55.4573,0.901812689
SNBC,22.3686,0.082432749,0.0189,0.1686,0.046393762,59.0204,0.954368932
SXC,25.5249,0.104828797,0.1148,0.2831,0.058823529,67.7789,1.065387969
SU,25.6315,0.053811966,0.2407,0.1065,-0.031339031,60.3072,1.042784524
TECK,14.1708,0.175675676,0.6154,0.3127,0.066924067,58.4731,1.136170213
TER,48.5935,0.136364996,-0.5614,0.2982,-0.050361506,56.1931,1.060310328
TVTY,39.3731,0.607782427,-0.531,-1.063,0.057740586,43.8763,1.00952381
VLO,48.318,0.055079007,0.9278,1.518,0.027278128,82.9454,1.086272261
VDSI,13.5752,0.063752896,-0.1852,0.1742,0.013899614,50.1443,1.052434457
VSH,61.5682,0.112211982,-0.2353,0.46,0.039170507,65.0346,0.968181818
WDC,16.7364,0.23655746,-0.758,-0.8726,-0.095388105,37.4165,1.004853161
WWE,48.5526,0.111196106,0.6616,0.9573,0.025382476,85.3435,1.068821689
WYNN,47.9984,0.092809257,0.5229,2.9238,0.026992013,73.0831,1.050186567
TBBK,50.706,0.160352697,0.6514,0.3435,0.052074689,80.5257,1.031023785
BMRN,23.4847,0.050261176,0.5647,-0.7849,0.025223529,44.922,1.038817112
BY,31.5055,0.16623803,0.4908,0.1408,0.064021888,65.6542,1.014442013
COG,23.918,0.058103208,0.5,0.6648,0.009344491,64.8336,0.971902505
CART,48.8479,0.190537634,0.9172,0.2501,0.099896774,76.9979,1.050537634
