Symbol,ADX,Bbands,BOP,MACD,MOM,RSI,Gain
FFWM,19.3156,0.052429577,-0.3226,-0.0554,-0.010680751,52.8997,1.058944282
FTNT,20.4211,0.067691906,0.4157,-0.0507,0.024751958,53.5321,0.937580938
FCF,18.4753,0.059448385,-0.5595,-0.0498,0.000157604,48.2383,1.109375
GGG,57.6466,0.053952691,0.2316,0.5963,0.004610902,73.7665,1.064722435
INVA,20.1736,0.164607104,0.4054,0.1848,0.081449587,63.1306,0.996478873
KRG,28.3084,0.055802348,-0.2884,0.0368,-0.006751468,53.7421,1.00487567
LSBK,12.2826,0.019534005,0.5499,-0.0058,0.000503778,57.5216,1.007556675
LRCX,36.0549,0.136394582,0.2907,1.8665,0.023840345,65.3662,1.095063553
LM,26.2046,0.046480999,-0.5244,-0.4068,-0.003695992,54.0161,1.029213191
LOB,33.2067,0.164986547,-0.6522,-0.4973,-0.025560538,41.5681,1.039647577
MLVF,35.7859,0.115383984,-0.3014,-0.1858,-0.002464066,62.995,1.093306288
MPX,38.3593,0.117176166,0.4089,0.1725,0.047150259,65.6786,1.090384615
MMSI,49.3912,0.062645858,-0.0313,0.2566,0.001680672,73.2292,1.021128451
NTRI,36.6733,0.054200562,-0.2677,-0.355,-0.00656045,53.1635,1.037705446
ORRF,22.3334,0.038768612,-0.315,0.1478,-0.010060362,64.0096,1.012072435
PSB,41.0008,0.056581134,0.0939,0.6918,0.0162341,74.2568,0.980342757
QEP,51.7877,0.112207447,-0.6307,-0.2887,0.024468085,25.3204,1.130392834
RES,15.562,0.20875,-0.3246,-0.3863,0.017975207,48.3576,1.284026708
SIFI,24.7943,0.092832765,-0.5588,-0.2139,0.007508532,43.834,1.047619048
NOW,47.7052,0.113478223,0.3922,1.445,0.053355269,69.3241,1.010986181
SMBK,27.8631,0.0938262,-0.7451,-0.2538,-0.022741029,48.3605,1.04211431
TER,32.1454,0.097541213,0.6416,0.427,0.033137748,64.6646,1.044896821
TSBK,48.0897,0.08387027,0.2667,0.4102,0.034954955,74.539,1.145114943
USAP,23.4786,0.089335548,-0.4104,-0.2621,-0.005537099,49.1267,1.155097614
VET,26.9218,0.107567568,-0.1328,0.0006,0.044728245,52.747,1.062684802
VRTX,66.1973,0.111607495,0.5494,2.2976,0.03711785,73.0131,0.930945979
WPG,18.6214,0.122650888,-0.5603,-0.0878,-0.016331361,45.713,0.992990654
ATNI,33.6541,0.080494792,0.5963,-0.7239,0.019954427,40.5957,0.86075539
ABMD,30.6591,0.040879121,0.1455,0.2085,-0.035932742,70.5383,1.128042747
ACOR,24.6121,0.264589862,-0.1098,0.005,-0.008294931,54.661,1.0581189
AEM,18.1164,0.168463791,0.8127,1.2432,0.083466719,65.6717,0.886435337
AKS,21.4764,0.140035149,-0.1176,-0.0764,0.060105448,44.8701,0.972413793
ALXN,23.3824,0.111075791,0.3449,2.2512,0.039686285,67.8732,0.971458189
ALGN,70.7467,0.064679669,0.6399,2.9729,0.009683638,77.811,1.051972943
ATI,27.3464,0.25798981,0.5056,0.7381,0.114312182,72.5154,1.098398169
AMT,58.5152,0.098608767,0.8955,2.8411,0.044741716,84.9426,0.924829771
ARCH,19.6987,0.096692048,0.5261,1.2292,0.044064411,67.2038,0.90418054
AXTI,39.2846,0.091375,-0.4082,0.0214,0.01375,61.6512,1.1475
ABX,16.4715,0.120033131,0.6857,0.3542,0.062617338,61.9063,0.893289329
BSF,21.8292,0.217626459,0.6351,0.2894,0.11614786,66.1679,0.999027237
BHBK,10.8762,0.088042781,-0.2222,0.0131,-0.006417112,54.1249,1.050666667
BYD,40.2194,0.051675472,0.7334,0.1414,0.006490566,68.8907,0.983421251
BPI,42.9658,0.196175478,-0.5145,-0.7252,-0.02519685,25.8774,1.078888889
CAI,66.4337,0.170687762,0.7933,1.2234,0.084210526,80.7768,0.982523038
CADE,19.2961,0.167575612,-0.655,-0.3757,-0.02650024,40.2394,1.085002901
CWT,27.351,0.086668456,-0.3684,-0.2449,-0.01852349,52.6094,1.017218543
CRS,16.8893,0.117235812,0.0195,0.4733,0.057778865,60.8515,1.165699081
CVE,43.8892,0.167755611,-0.2295,-0.0907,0.008229426,42.2861,1.244471744
CLF,20.5133,0.208301887,0.461,0.2492,0.112971698,64.6089,0.845497076
COHU,31.6574,0.098834225,0.1682,0.06,0.028770053,58.3008,1.266843501
COP,19.1896,0.078367993,-0.4343,-0.3052,-0.007368897,46.408,1.128632575
CUZ,22.0653,0.039572193,-0.15,0.0548,0.00513369,70.8106,0.998939555
CPG,39.4476,0.151168831,-0.694,-0.2224,-0.018181818,28.3504,1.164756447
CUBE,25.4313,0.074041868,-0.0447,0.1505,0.025523349,52.5334,1.045036029
CY,18.9316,0.096740847,-0.26,-0.1509,0.010193826,54.3928,1.078080229
DLR,16.258,0.077318834,0.3157,1.0676,0.020779883,59.2395,1.001520014
EQT,17.7147,0.065772241,-0.279,-0.0557,0.01217058,55.1677,1.043788217
EA,50.44,0.041553935,0.4235,1.6048,0.022797754,73.7023,0.970436068
ENVA,32.4473,0.180444444,-0.7424,-0.7562,-0.065843621,37.831,1.106122449
FSBW,61.3723,0.193219285,0.7095,1.5163,0.087791602,79.7673,1.029868115
FFNW,15.5021,0.0193375,-0.7891,-0.1036,-0.002,41.404,1.072139303
GG,11.8335,0.113818182,0.4962,0.1227,0.048436364,52.8849,0.945730825
HIG,48.9243,0.059078631,-0.5715,-0.052,-0.035670675,59.4973,1.017804699
HWBK,22.9687,0.042199513,0.7761,0.0243,0.009279805,54.7343,1.006024096
HP,47.1336,0.208205486,-0.9855,-2.1396,-0.035611344,23.7972,1.213706877
HESM,62.548,0.133571093,-0.0319,-0.1098,0.02796809,45.2983,1.047563805
HLT,37.5642,0.082656758,0.4742,0.375,0.034122929,64.04,1.070602744
HFBC,32.4786,0.068848921,-0.6016,-0.1233,-0.023453237,37.991,1.035714286
HUN,48.7823,0.101160283,0.3054,0.1576,0.043064336,62.7287,1.012181617
IMPV,22.6553,0.052596882,-0.1111,-0.7205,0.000668151,46.9988,0.972314507
KKR,24.8531,0.105806112,-0.2597,-0.0804,0.025079031,56.2107,1.067398119
LLL,31.6469,0.060649835,0.5052,1.6111,0.003809001,68.4423,1.031179914
LPLA,32.4561,0.047691658,0.1897,0.4561,0.006082365,75.8071,1.096496748
LVS,25.5396,0.073497694,0.4727,-0.092,0.007380309,60.9616,1.022736263
LAWS,11.3441,0.107793388,0.2941,0.3949,0.014049587,58.8847,1.049586777
LMAT,29.1229,0.141404372,0.0819,1.2477,0.064808743,69.9049,1.022751896
LOGM,28.1354,0.064164807,-0.3161,-0.0848,-0.017424893,60.5951,0.94734589
MGM,23.1043,0.114134297,0.4628,0.057,0.041674195,59.4611,0.978481769
MPLX,19.7572,0.094995661,-0.4815,-0.2346,0.02788545,50.9391,1.030773655
MKL,34.3687,0.021806856,-0.3673,5.3182,-0.009462658,63.3165,1.010310249
