Test Name, September17, October17, November17, December17, Janurary18, Feburary18, Average%, Average Symbols
BBANDS0.06/,0.5217,0.4286,0.5,0.4746,0.4722,0,0.3995,18.17
BBANDS0.05/,0.4516,0.4516,0.5,0.4146,0.5102,0,0.388,12
BBANDS0.07/,0.5593,0.4091,0.4,0.481,0.4457,0.5,0.4658,23.67
RSI60/ADX20/,0.5333,0.3529,0,0.3182,0.5455,0,0.2916,4.5
RSI60/ADX25/,0.3929,0.2895,0.3333,0.3529,0.4074,0.5,0.3793,7.83
RSI60/ADX30/,0.5128,0.3208,0.3333,0.3696,0.4717,0.2,0.368,13.5
RSI60/ADX35/,0.5581,0.3167,0.3333,0.3889,0.4769,0.3333,0.4012,16.33
RSI60/ADX40/,0.5778,0.3182,0.3333,0.3793,0.473,0.2222,0.384,17.83
RSI60/ADX45/,0.5778,0.3284,0.3333,0.3667,0.4667,0.1818,0.3758,18
RSI60/ADX50/,0.5652,0.3143,0.3333,0.375,0.4605,0.1818,0.3717,18.33
ADX20/,0.6667,0.35,0.3333,0.375,0.4375,0,0.3604,11
ADX25/,0.5735,0.2727,0.4,0.403,0.3462,0.125,0.3534,20
ADX30/,0.6,0.3106,0.3333,0.4211,0.4113,0.1538,0.3717,32.17
ADX35/,0.6518,0.3631,0.3333,0.4146,0.441,0.2667,0.4118,43.17
ADX40/,0.6772,0.4105,0.3846,0.4371,0.4278,0.2105,0.4246,53.17
ADX45/,0.6617,0.4378,0.4286,0.4356,0.4216,0.2,0.4309,58.5
ADX50/,0.6438,0.4391,0.4286,0.4463,0.4266,0.1923,0.4294,63
RSI60/,0.6702,0.3269,0.4286,0.3776,0.473,0.2083,0.4141,35.33
RSI45/MOM0/MACD0/BOP0.03/ADX35/,1,0,0,0.25,0.6667,0,0.3194,1.5
RSI45/MOM0/MACD0/BOP0.03/ADX40/,1,0,0,0.25,0.5714,0,0.3036,1.5
RSI45/MOM0/MACD0/BOP0.03/ADX45/,1,0,0.5,0.25,0.5714,0,0.3869,1.67
RSI45/MOM0/MACD0/BOP0.03/ADX50/,1,0,0.5,0.25,0.5714,0,0.3869,1.67
RSI45/MOM0/MACD0/BOP0.01/,0.8,0.125,0.5,0.2,0.5833,0,0.368,3
RSI45/MOM0/MACD0/BOP-0.01/,0.8,0.125,0.5,0.2,0.5833,0,0.368,3
RSI45/MOM0/MACD0/BOP-0.03/,0.8,0.125,0.5,0.2,0.5833,0,0.368,3
RSI45/MOM0/MACD0/BOP-0.05/,0.8,0.125,0.5,0.2,0.5833,0,0.368,3
RSI45/MOM0/MACD-1/,1,0,0,0.5,0.5,0,0.3333,0.5
RSI50/,0.7917,0.3111,0.5,0.4595,0.5,0.25,0.4687,19.33
RSI55/,0.7183,0.3038,0.6,0.4528,0.479,0.25,0.4673,27.33
MOM0/MACD0/BOP0.03/ADX35/,0.8636,0.1765,0.3333,0.5,0.4483,0.2857,0.4346,7.17
MOM0/MACD0/BOP0.03/ADX40/,0.875,0.2222,0.3333,0.5714,0.4516,0.2857,0.4565,8.33
MOM0/MACD0/BOP0.03/ADX45/,0.88,0.3,0.5,0.5714,0.4412,0.2,0.4821,9.17
MOM0/MACD0/BOP0.03/ADX50/,0.88,0.3333,0.5,0.5714,0.4286,0.2,0.4856,9.33
MOM0/MACD0/BOP0.01/,0.75,0.4242,0.5,0.4783,0.4237,0.1818,0.4597,14.5
MOM0/MACD0/BOP-0.01/,0.75,0.4242,0.5,0.5,0.4237,0.1818,0.4633,14.5
MOM0/MACD0/BOP-0.03/,0.75,0.4242,0.5,0.5,0.4237,0.1818,0.4633,14.5
MOM0/MACD0/BOP-0.05/,0.75,0.4242,0.5,0.5238,0.4237,0.1818,0.4672,14.5
MOM0/MACD-1/,0.7143,0.5,0,0.6667,0.5,0.5,0.4802,2.83
RSI45/MACD0/BOP0.03/ADX35/,0.9091,0,0,0.1667,0.7778,0,0.3089,3
RSI45/MACD0/BOP0.03/ADX40/,0.9091,0,0,0.1429,0.6667,0,0.2865,3.17
RSI45/MACD0/BOP0.03/ADX45/,0.9091,0,0.5,0.1429,0.6667,0,0.3698,3.33
RSI45/MACD0/BOP0.03/ADX50/,0.8333,0,0.5,0.1429,0.6667,0,0.3572,3.33
RSI45/MACD0/BOP0.01/,0.7368,0.1,0.5,0.1111,0.5238,0,0.3286,4.67
