Test Name, September17, October17, November17, December17, Janurary18, Feburary18, Average%, Average Symbols
BBANDS0.06/,0.7174,0.5918,0.75,0.6102,0.625,0,0.5491,24.33
BBANDS0.05/,0.6774,0.6452,0.75,0.5366,0.6531,0,0.5437,16.33
BBANDS0.07/,0.7119,0.5455,0.6,0.5949,0.6087,0.5,0.5935,30.83
RSI60/ADX20/,0.8667,0.3529,0.5,0.3636,0.5455,0,0.4381,5.67
RSI60/ADX25/,0.6429,0.3421,0.6667,0.4412,0.4815,0.5,0.5124,10.33
RSI60/ADX30/,0.7179,0.3962,0.6667,0.4565,0.5472,0.2,0.4974,17
RSI60/ADX35/,0.7442,0.4,0.6667,0.463,0.5846,0.3333,0.532,20.5
RSI60/ADX40/,0.7556,0.4242,0.6667,0.4483,0.5946,0.2222,0.5186,22.67
RSI60/ADX45/,0.7556,0.4328,0.6667,0.45,0.5867,0.2727,0.5274,23.17
RSI60/ADX50/,0.7609,0.4429,0.6667,0.4531,0.5921,0.2727,0.5314,24.17
ADX20/,0.8182,0.375,0.6667,0.45,0.5,0.25,0.51,13.17
ADX25/,0.6912,0.3977,0.8,0.5224,0.4359,0.25,0.5162,26.17
ADX30/,0.7053,0.4621,0.8333,0.5263,0.5,0.2308,0.543,41.33
ADX35/,0.75,0.5032,0.6667,0.5122,0.5528,0.3333,0.553,54.33
ADX40/,0.7717,0.5474,0.6154,0.5298,0.5615,0.2632,0.5482,66.67
ADX45/,0.7519,0.5668,0.6429,0.5399,0.5441,0.28,0.5543,73
ADX50/,0.7534,0.5696,0.6429,0.548,0.5596,0.2692,0.5571,79.33
RSI60/,0.7872,0.4519,0.8571,0.4796,0.6216,0.2917,0.5815,45.5
RSI45/MOM0/MACD0/BOP0.03/ADX35/,1,0,1,0.25,0.8333,0,0.5139,1.83
RSI45/MOM0/MACD0/BOP0.03/ADX40/,1,0,1,0.25,0.8571,0,0.5178,2
RSI45/MOM0/MACD0/BOP0.03/ADX45/,1,0,1,0.25,0.8571,0,0.5178,2.17
RSI45/MOM0/MACD0/BOP0.03/ADX50/,1,0,1,0.25,0.8571,0,0.5178,2.17
RSI45/MOM0/MACD0/BOP0.01/,0.9,0.125,1,0.4,0.75,0,0.5292,3.83
RSI45/MOM0/MACD0/BOP-0.01/,0.9,0.125,1,0.4,0.75,0,0.5292,3.83
RSI45/MOM0/MACD0/BOP-0.03/,0.9,0.125,1,0.4,0.75,0,0.5292,3.83
RSI45/MOM0/MACD0/BOP-0.05/,0.9,0.125,1,0.4,0.75,0,0.5292,3.83
RSI45/MOM0/MACD-1/,1,0,0,0.5,0.5,0,0.3333,0.5
RSI50/,0.8333,0.4444,1,0.5946,0.6548,0.3333,0.6434,24.17
RSI55/,0.8169,0.4304,1,0.5472,0.6387,0.35,0.6305,34.83
MOM0/MACD0/BOP0.03/ADX35/,0.9545,0.2353,1,0.6,0.5517,0.2857,0.6045,8.67
MOM0/MACD0/BOP0.03/ADX40/,0.9583,0.2778,1,0.6429,0.5806,0.2857,0.6242,10
MOM0/MACD0/BOP0.03/ADX45/,0.96,0.35,1,0.6429,0.5588,0.3,0.6353,11
MOM0/MACD0/BOP0.03/ADX50/,0.96,0.381,1,0.6429,0.5714,0.3,0.6426,11.33
MOM0/MACD0/BOP0.01/,0.8409,0.4848,1,0.6087,0.6271,0.2727,0.639,18.5
MOM0/MACD0/BOP-0.01/,0.8409,0.4848,1,0.6364,0.6271,0.2727,0.6436,18.5
MOM0/MACD0/BOP-0.03/,0.8409,0.4848,1,0.6364,0.6271,0.2727,0.6436,18.5
MOM0/MACD0/BOP-0.05/,0.8409,0.4848,1,0.6667,0.6271,0.2727,0.6487,18.5
MOM0/MACD-1/,0.7143,0.5,0,0.6667,0.6,0.5,0.4968,3
RSI45/MACD0/BOP0.03/ADX35/,0.9091,0,1,0.1667,0.8889,0,0.4941,3.33
RSI45/MACD0/BOP0.03/ADX40/,0.9091,0,1,0.2857,0.9167,0,0.5186,4
RSI45/MACD0/BOP0.03/ADX45/,0.9091,0,1,0.2857,0.9167,0,0.5186,4.17
RSI45/MACD0/BOP0.03/ADX50/,0.8333,0,1,0.2857,0.9167,0,0.506,4.17
RSI45/MACD0/BOP0.01/,0.7895,0.1,1,0.3333,0.7143,0,0.4895,6
RSI45/MACD0/BOP-0.01/,0.7895,0.1,1,0.3333,0.7143,0,0.4895,6
RSI45/MACD0/BOP-0.03/,0.7895,0.1111,1,0.375,0.7143,0,0.4983,6
RSI45/MACD0/BOP-0.05/,0.7895,0.1111,1,0.375,0.7143,0,0.4983,6
RSI45/MACD-1/,1,0,0,0.6667,0.6667,0,0.3889,0.83
MACD0/BOP0.03/ADX35/,0.9487,0.2727,1,0.4667,0.6591,0.2857,0.6055,14
MACD0/BOP0.03/ADX40/,0.9524,0.3043,1,0.5238,0.68,0.2857,0.6244,16.17
MACD0/BOP0.03/ADX45/,0.9535,0.36,1,0.5238,0.6481,0.3,0.6309,17.17
MACD0/BOP0.03/ADX50/,0.9318,0.3846,1,0.5238,0.6545,0.3,0.6324,17.5
MACD0/BOP0.01/,0.8571,0.4524,1,0.475,0.6596,0.25,0.6157,27.83
MACD0/BOP-0.01/,0.8571,0.4524,1,0.4872,0.6596,0.25,0.6177,27.83
MACD0/BOP-0.03/,0.8571,0.475,1,0.4722,0.6667,0.25,0.6202,27.5
MACD0/BOP-0.05/,0.8551,0.4615,1,0.5,0.6667,0.25,0.6222,27.17
MACD-1/,0.7143,0.5,0,0.75,0.6667,0.5,0.5218,3.5
RSI45/MOM0/BOP0.03/ADX35/,1,0,1,0.25,0.8333,0.5,0.5972,2
RSI45/MOM0/BOP0.03/ADX40/,1,0,1,0.25,0.8571,0.5,0.6012,2.17
RSI45/MOM0/BOP0.03/ADX45/,1,0,1,0.25,0.8571,0.3333,0.5734,2.33
RSI45/MOM0/BOP0.03/ADX50/,1,0,1,0.25,0.8571,0.3333,0.5734,2.33
RSI45/MOM0/BOP0.01/,0.9,0.125,1,0.4,0.75,0.3333,0.5847,4
RSI45/MOM0/BOP-0.01/,0.9,0.125,1,0.4,0.75,0.3333,0.5847,4
RSI45/MOM0/BOP-0.03/,0.9,0.125,1,0.4,0.75,0.3333,0.5847,4
RSI45/MOM0/BOP-0.05/,0.9,0.125,1,0.4,0.75,0.3333,0.5847,4
MOM0/BOP0.03/ADX35/,0.9167,0.2778,1,0.5833,0.5758,0.375,0.6214,9.83
MOM0/BOP0.03/ADX40/,0.9231,0.3158,1,0.6667,0.6111,0.375,0.6486,11.67
MOM0/BOP0.03/ADX45/,0.9259,0.381,1,0.7,0.575,0.3333,0.6525,13
MOM0/BOP0.03/ADX50/,0.9259,0.375,1,0.7143,0.5854,0.3333,0.6556,13.5
MOM0/BOP0.01/,0.7885,0.5208,1,0.65,0.6027,0.3571,0.6532,24.33
MOM0/BOP-0.01/,0.7885,0.5106,1,0.6579,0.6027,0.3571,0.6528,24
MOM0/BOP-0.03/,0.7885,0.5217,1,0.6486,0.6027,0.3571,0.6531,23.83
MOM0/BOP-0.05/,0.7885,0.5217,1,0.6571,0.6027,0.3077,0.6463,23.5
RSI45/BOP0.03/ADX35/,0.9091,0,1,0.1667,0.9,0.5,0.5793,3.67
RSI45/BOP0.03/ADX40/,0.9091,0,1,0.2857,0.9231,0.5,0.603,4.33
RSI45/BOP0.03/ADX45/,0.9091,0,1,0.2857,0.9231,0.3333,0.5752,4.5
RSI45/BOP0.03/ADX50/,0.8333,0,1,0.2857,0.9231,0.3333,0.5626,4.5
RSI45/BOP0.01/,0.7895,0.1,1,0.3333,0.7273,0.3333,0.5472,6.33
RSI45/BOP-0.01/,0.7895,0.1,1,0.3333,0.7273,0.3333,0.5472,6.33
RSI45/BOP-0.03/,0.7895,0.1111,1,0.375,0.7273,0.3333,0.556,6.33
RSI45/BOP-0.05/,0.7895,0.1111,1,0.375,0.7273,0.3333,0.556,6.33
BOP0.03/ADX35/,0.9,0.36,0.75,0.48,0.678,0.3333,0.5835,18.67
BOP0.03/ADX40/,0.9091,0.3846,0.75,0.5455,0.6765,0.3333,0.5998,21.67
BOP0.03/ADX45/,0.9107,0.4333,0.8,0.5714,0.6351,0.3077,0.6097,23.17
BOP0.03/ADX50/,0.8966,0.4412,0.8,0.5526,0.6494,0.3077,0.6079,24.33
BOP0.01/,0.81,0.5,0.875,0.5256,0.6331,0.3125,0.6094,42.5
BOP-0.01/,0.8163,0.4923,0.875,0.52,0.6304,0.3125,0.6078,41.67
BOP-0.03/,0.8144,0.5082,0.875,0.5072,0.6397,0.3333,0.613,40.67
BOP-0.05/,0.8172,0.5,0.875,0.5231,0.637,0.2857,0.6063,39.5
RSI45/MOM0/MACD-1/ADX35/,1,0,0,0.5,0,0,0.25,0.33
RSI45/MOM0/MACD-1/ADX40/,1,0,0,0.5,0,0,0.25,0.33
RSI45/MOM0/MACD-1/ADX45/,1,0,0,0.5,0,0,0.25,0.33
RSI45/MOM0/MACD-1/ADX50/,1,0,0,0.5,0,0,0.25,0.33
MOM0/MACD-1/ADX35/,1,0.2,0,0.5,0.25,1,0.4917,1.33
MOM0/MACD-1/ADX40/,1,0.2,0,0.6667,0.4,1,0.5444,1.67
MOM0/MACD-1/ADX45/,1,0.3333,0,0.6667,0.4,1,0.5667,1.83
MOM0/MACD-1/ADX50/,1,0.4286,0,0.6667,0.4,1,0.5826,2
RSI45/MACD-1/ADX35/,1,0,0,0.5,0,0,0.25,0.33
RSI45/MACD-1/ADX40/,1,0,0,0.6667,1,0,0.4444,0.67
RSI45/MACD-1/ADX45/,1,0,0,0.6667,1,0,0.4444,0.67
RSI45/MACD-1/ADX50/,1,0,0,0.6667,1,0,0.4444,0.67
MACD-1/ADX35/,1,0.2,0,0.5,0.25,1,0.4917,1.33
MACD-1/ADX40/,1,0.2,0,0.75,0.5,1,0.575,2
MACD-1/ADX45/,1,0.3333,0,0.75,0.5,1,0.5972,2.17
MACD-1/ADX50/,1,0.4286,0,0.75,0.5,1,0.6131,2.33
RSI50/ADX35/,0.875,0.32,1,0.6,0.6522,0.4,0.6412,12.5
RSI50/ADX40/,0.88,0.3333,1,0.5652,0.6909,0.4,0.6449,14.33
RSI50/ADX45/,0.88,0.3793,1,0.52,0.6842,0.2857,0.6249,15
RSI50/ADX50/,0.8462,0.4,1,0.52,0.6842,0.2857,0.6227,15.17
RSI45/MOM0/MACD0/BOP0.05/ADX35/,0.8889,0.125,1,0.4,0.7273,0,0.5235,3.33
RSI45/MOM0/MACD0/BOP0.05/ADX40/,0.9,0.125,1,0.4,0.75,0,0.5292,3.67
RSI45/MOM0/MACD0/BOP0.05/ADX45/,0.9,0.125,1,0.4,0.75,0,0.5292,3.83
RSI45/MOM0/MACD0/BOP0.05/ADX50/,0.9,0.125,1,0.4,0.75,0,0.5292,3.83
RSI45/MOM0/MACD0/BOP0.03/,0.9,0.125,1,0.4,0.75,0,0.5292,3.83
MOM0/MACD0/BOP0.05/ADX35/,0.9091,0.3846,1,0.625,0.625,0.2857,0.6382,14.17
MOM0/MACD0/BOP0.05/ADX40/,0.8947,0.4286,1,0.619,0.6415,0.2857,0.6449,16.33
MOM0/MACD0/BOP0.05/ADX45/,0.8974,0.4667,1,0.619,0.625,0.3,0.6514,17.33
MOM0/MACD0/BOP0.05/ADX50/,0.9,0.5,1,0.619,0.6316,0.3,0.6584,18
MOM0/MACD0/BOP0.03/,0.8409,0.4848,1,0.6087,0.6271,0.2727,0.639,18.5
RSI45/MACD0/BOP0.05/ADX35/,0.8235,0.1111,1,0.25,0.6471,0,0.472,4.83
RSI45/MACD0/BOP0.05/ADX40/,0.8333,0.1,1,0.3333,0.7143,0,0.4968,5.83
RSI45/MACD0/BOP0.05/ADX45/,0.8333,0.1,1,0.3333,0.7143,0,0.4968,6
RSI45/MACD0/BOP0.05/ADX50/,0.7895,0.1,1,0.3333,0.7143,0,0.4895,6
RSI45/MACD0/BOP0.03/,0.7895,0.1,1,0.3333,0.7143,0,0.4895,6
MACD0/BOP0.05/ADX35/,0.9074,0.3939,1,0.4667,0.6486,0.25,0.6111,21.5
MACD0/BOP0.05/ADX40/,0.9016,0.4167,1,0.5,0.6667,0.25,0.6225,25
MACD0/BOP0.05/ADX45/,0.9032,0.4474,1,0.4872,0.6477,0.2727,0.6264,26
MACD0/BOP0.05/ADX50/,0.8923,0.475,1,0.4872,0.6556,0.2727,0.6305,27
MACD0/BOP0.03/,0.8571,0.4524,1,0.4878,0.6596,0.25,0.6178,28
RSI45/MOM0/BOP0.05/ADX35/,0.8889,0.125,1,0.4,0.7273,0.5,0.6069,3.5
RSI45/MOM0/BOP0.05/ADX40/,0.9,0.125,1,0.4,0.75,0.5,0.6125,3.83
RSI45/MOM0/BOP0.05/ADX45/,0.9,0.125,1,0.4,0.75,0.3333,0.5847,4
RSI45/MOM0/BOP0.05/ADX50/,0.9,0.125,1,0.4,0.75,0.3333,0.5847,4
RSI45/MOM0/BOP0.03/,0.9,0.125,1,0.4,0.75,0.3333,0.5847,4
MOM0/BOP0.05/ADX35/,0.85,0.4688,1,0.619,0.5893,0.375,0.6504,16.83
MOM0/BOP0.05/ADX40/,0.8444,0.5135,1,0.6333,0.6129,0.375,0.6632,20.17
MOM0/BOP0.05/ADX45/,0.8478,0.5476,1,0.6667,0.6029,0.3333,0.6664,22.33
MOM0/BOP0.05/ADX50/,0.8511,0.5435,1,0.6757,0.6087,0.3333,0.6687,23.5
MOM0/BOP0.03/,0.7885,0.5208,1,0.65,0.6081,0.3571,0.6541,24.5
RSI45/BOP0.05/ADX35/,0.8235,0.1111,1,0.25,0.6667,0.5,0.5586,5.17
RSI45/BOP0.05/ADX40/,0.8333,0.1,1,0.3333,0.7273,0.5,0.5823,6.17
